Company's Daily Share Prices (Closing) and Highest - Lowest price of the date,,,,,,,,,,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN A,LLIANCE,,,,,,,,
-----------,----------,-------------,------------,-----------,-----------,---------,----------------,--------------------,------------,-------
Day,Date high,High,Date Low,Low,Closing,Trades(No.), Shares(No.),Turnover(Rs.),Last Traded,Days Traded
2007-08-20 00:00:00,2007-08-20 00:00:00,19.5,2007-08-20 00:00:00,19.5,19.5,5,4800,93600,2007-08-20 00:00:00,1
2007-08-21 00:00:00,2007-08-21 00:00:00,22.5,2007-08-21 00:00:00,20,22,201,126900,2740950,2007-08-21 00:00:00,1
2007-08-22 00:00:00,2007-08-22 00:00:00,24,2007-08-22 00:00:00,21.75,22.25,149,120500,2796725,2007-08-22 00:00:00,1
2007-08-23 00:00:00,2007-08-23 00:00:00,23,2007-08-23 00:00:00,21.75,22.5,18,13300,302025,2007-08-23 00:00:00,1
2007-08-24 00:00:00,2007-08-24 00:00:00,22.5,2007-08-24 00:00:00,21.25,22,11,9800,214625,2007-08-24 00:00:00,1
2007-08-27 00:00:00,2007-08-27 00:00:00,23,2007-08-27 00:00:00,22,22.25,60,50100,1131825,2007-08-27 00:00:00,1
2007-08-29 00:00:00,2007-08-29 00:00:00,22,2007-08-29 00:00:00,22,22,14,4200,92400,2007-08-29 00:00:00,1
2007-08-30 00:00:00,2007-08-30 00:00:00,22,2007-08-30 00:00:00,21.75,21.75,5,1800,39225,2007-08-30 00:00:00,1
2007-08-31 00:00:00,2007-08-31 00:00:00,21.75,2007-08-31 00:00:00,21.5,21.75,12,7100,153800,2007-08-31 00:00:00,1
2007-09-03 00:00:00,2007-09-03 00:00:00,22.75,2007-09-03 00:00:00,22,22.5,9,6800,152325,2007-09-03 00:00:00,1
2007-09-04 00:00:00,2007-09-04 00:00:00,22.25,2007-09-04 00:00:00,21.75,22,16,9000,197500,2007-09-04 00:00:00,1
2007-09-05 00:00:00,2007-09-05 00:00:00,22.75,2007-09-05 00:00:00,22,22,8,2600,57775,2007-09-05 00:00:00,1
2007-09-06 00:00:00,2007-09-06 00:00:00,23,2007-09-06 00:00:00,22,22,20,6600,148475,2007-09-06 00:00:00,1
2007-09-07 00:00:00,2007-09-07 00:00:00,22,2007-09-07 00:00:00,21.75,22,8,9100,199550,2007-09-07 00:00:00,1
2007-09-10 00:00:00,2007-09-10 00:00:00,22,2007-09-10 00:00:00,21.5,21.75,15,10800,235400,2007-09-10 00:00:00,1
2007-09-11 00:00:00,2007-09-11 00:00:00,22,2007-09-11 00:00:00,21.75,22,9,6700,147275,2007-09-11 00:00:00,1
2007-09-12 00:00:00,2007-09-12 00:00:00,22,2007-09-12 00:00:00,22,22,2,300,6600,2007-09-12 00:00:00,1
