Daily high low and closing share prices - 2009,,,,,,,,,,
Day,Date High,Low,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2009-08-31 00:00:00,2009-08-31 00:00:00,14.75,2009-08-31 00:00:00,14.25,14.25,90,134700,1933875,2009-08-31 00:00:00,1
2009-09-01 00:00:00,2009-09-01 00:00:00,14.75,2009-09-01 00:00:00,14.5,14.5,53,103500,1501125,2009-09-01 00:00:00,1
2009-09-02 00:00:00,2009-09-02 00:00:00,15,2009-09-02 00:00:00,14.5,15,76,194300,2860875,2009-09-02 00:00:00,1
2009-09-03 00:00:00,2009-09-03 00:00:00,15.25,2009-09-03 00:00:00,14.75,15,147,526000,7886600,2009-09-03 00:00:00,1
2009-09-07 00:00:00,2009-09-07 00:00:00,17.25,2009-09-07 00:00:00,15.25,17,402,737400,12165400,2009-09-07 00:00:00,1
2009-09-08 00:00:00,2009-09-08 00:00:00,18.75,2009-09-08 00:00:00,17.25,18.25,462,953000,17237725,2009-09-08 00:00:00,1
2009-09-09 00:00:00,2009-09-09 00:00:00,19.75,2009-09-09 00:00:00,18.5,18.75,403,1203300,22786225,2009-09-09 00:00:00,1
2009-09-10 00:00:00,2009-09-10 00:00:00,19,2009-09-10 00:00:00,17.5,18,310,794300,14351775,2009-09-10 00:00:00,1
2009-09-11 00:00:00,2009-09-11 00:00:00,19,2009-09-11 00:00:00,18,18.75,162,545400,10222175,2009-09-11 00:00:00,1
2009-09-14 00:00:00,2009-09-14 00:00:00,19.5,2009-09-14 00:00:00,18.75,19.25,213,1035900,19821100,2009-09-14 00:00:00,1
2009-09-15 00:00:00,2009-09-15 00:00:00,19.25,2009-09-15 00:00:00,18.5,19,140,345500,6529975,2009-09-15 00:00:00,1
2009-09-16 00:00:00,2009-09-16 00:00:00,19.75,2009-09-16 00:00:00,19.25,19.75,217,736400,14506100,2009-09-16 00:00:00,1
2009-09-17 00:00:00,2009-09-17 00:00:00,22,2009-09-17 00:00:00,20,22,666,1911500,40033800,2009-09-17 00:00:00,1
2009-09-18 00:00:00,2009-09-18 00:00:00,23.25,2009-09-18 00:00:00,22,22.5,634,1511600,34240125,2009-09-18 00:00:00,1
