Public Holding 2020Q2 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2020-2,LANKA WALLTILE PLC,LWL.N0000,26.85%
2020-2,LANKEM CEYLON PLC,LCEY.N0000,14.65%
2020-2,LANKEM DEVELOPMENTS PLC,LDEV.N0000,36.75%
2020-2,LAUGFS GAS PLC,LGL.N0000,25.23%
2020-2,LAUGFS GAS PLC,LGL.X0000,65.3%
2020-2,LAUGFS POWER PLC,LPL.N0000,25.23%
2020-2,LAXAPANA BATTERIES PLC,LITE.N0000,34.75%
2020-2,LB FINANCE PLC,LFIN.N0000,21.83%
2020-2,LEE HEDGES PLC,SHAW.N0000,36.49%
2020-2,LION BREWERY (CEYLON) PLC,LION.N0000,13.92%
2020-2,LOLC FINANCE PLC,LOFC.N0000,5.37%
2020-2,LOTUS HYDRO POWER PLC,HPFL.N0000,11.17%
2020-2,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000,100%
2020-2,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,0%
2020-2,MACKWOODS ENERGY PLC,MEL.N0000,0%
2020-2,MADULSIMA  PLANTATIONS  PLC,MADU.N0000,6.51%
2020-2,MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,86.7%
2020-2,MAHAWELI REACH HOTELS PLC,MRH.N0000,20.49%
2020-2,MALWATTE VALLEY PLANTATION PLC,MAL.X0000,18.87%
2020-2,MALWATTE VALLEY PLANTATION PLC,MAL.N0000,33.02%
2020-2,MARAWILA  RESORTS  PLC,MARA.N0000,38.62%
2020-2,MASKELIYA PLANTATIONS PLC,MASK.N0000,16.6%
2020-2,MELSTACORP PLC,MELS.N0000,42.77%
2020-2,MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,10.51%
2020-2,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,48.66%
2020-2,MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,25.51%
2020-2,METROPOLITAN  RESOURCE  HOLDINGS  PLC,MPRH.N0000,21.02%
2020-2,MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,16.44%
2020-2,MIRAMAR BEACH HOTELS PLC,MIRA.N0000,0%
2020-2,MORISON PLC,MORI.N0000,9.4%
2020-2,MORISON PLC,MORI.X0000,15.12%
2020-2,MTD WALKERS PLC,KAPI.N0000,0%
2020-2,MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,48.66%
2020-2,N D B CAPITAL HOLDINGS PLC,CDIC.N0000,.38%
2020-2,NAMAL ACUITY VALUE FUND,NAVF.U0000,11.6%
2020-2,NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,32.52%
2020-2,NATION LANKA FINANCE PLC,CSF.W0021,56.71%
2020-2,NATION LANKA FINANCE PLC,CSF.N0000,16.42%
2020-2,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,81.11%
2020-2,NATIONS TRUST BANK PLC,NTB.N0000,35.68%
2020-2,NAWALOKA HOSPITALS PLC,NHL.N0000,34.21%
2020-2,NESTLE LANKA PLC,NEST.N0000,0.0918
2020-2,ODEL PLC,ODEL.N0000,0.0226
2020-2,OFFICE EQUIPMENT PLC,OFEQ.N0000,0.8897
2020-2,ON'ALLY HOLDINGS PLC,ONAL.N0000,0.1085
2020-2,ORIENT FINANCE PLC,BFN.N0000,0.0736
2020-2,ORIENT FINANCE PLC,ORIN.N0000,0.1
2020-2,ORIENT GARMENTS PLC,OGL.N0000,0
2020-2,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,0.131
2020-2,PALM GARDEN HOTELS PLC,PALM.N0000,0.1062
2020-2,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,0.55
2020-2,PANASIAN POWER PLC,PAP.N0000,0.3163
2020-2,PARAGON CEYLON PLC,PARA.N0000,0.8612
2020-2,PC HOUSE PLC,PCH.N0000,0
2020-2,PC PHARMA PLC,PCP.N0000,0
2020-2,PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,0.1001
2020-2,PELWATTE SUGAR INDUSTRIES PLC,SUGA.N0000,0
2020-2,PEOPLE'S FINANCE PLC,SMLL.N0000,0.0944
2020-2,PEOPLE'S INSURANCE PLC,PINS.N0000,0.25
2020-2,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,0.2495
2020-2,PEOPLE`S MERCHANT FINANCE  PLC,PMB.N0000,0
2020-2,PIRAMAL GLASS CEYLON PLC,GLAS.N0000,0.4342
2020-2,PRADESHIYA SANWARDANA BANK,RDB.N0000,0
2020-2,PRIME FINANCE PLC,GSF.N0000,0.0461
2020-2,PRINTCARE PLC,CARE.N0000,0.4005
2020-2,PROPERTY DEVELOPMENT PLC,PDL.N0000,0.0444
2020-2,R I L PROPERTY PLC,RIL.N0000,0.3949
2020-2,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,0.9547
2020-2,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,0.2808
2020-2,RAMBODA FALLS PLC,RFL.N0000,0.2849
2020-2,REGNIS (LANKA) PLC,REG.N0000,0.4116
2020-2,RENUKA AGRI FOODS PLC,RAL.N0000,0.2445
2020-2,RENUKA CAPITAL PLC,KZOO.N0000,0.1166
2020-2,RENUKA CITY HOTELS PLC.,RENU.N0000,0.2792
2020-2,RENUKA FOODS PLC,COCO.N0000,0.2675
2020-2,RENUKA FOODS PLC,COCO.X0000,0.6898
2020-2,RENUKA HOLDINGS PLC,RHL.N0000,0.3299
2020-2,RENUKA HOLDINGS PLC,RHL.X0000,0.9414
2020-2,RENUKA HOTELS PLC,RCH.N0000,0.3657
2020-2,RESUS ENERGY PLC,HPWR.N0000,0.3471
2020-2,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,0.4214
2020-2,RICHARD PIERIS EXPORTS PLC,REXP.N0000,0.161
2020-2,RIVERINA HOTELS PLC,BHR.N0000,0.2549
2020-2,ROYAL CERAMICS LANKA PLC,RCL.N0000,0.424
2020-2,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,0.141
2020-2,S M B LEASING PLC,SEMB.N0000,0.8365
2020-2,S M B LEASING PLC,SEMB.X0000,1
2020-2,SAMPATH BANK PLC,SAMP.N0000,0.9062
2020-2,SAMSON INTERNATIONAL PLC,SIL.N0000,0.432
2020-2,SANASA DEVELOPMENT BANK PLC,SDB.N0000,0.9986
2020-2,SATHOSA MOTORS PLC,SMOT.N0000,0.1554
2020-2,SELINSING PLC,SELI.N0000,0.0432
2020-2,SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,0.214
2020-2,SERENDIB ENGINEERING GROUP PLC,IDL.N0000,0.1588
2020-2,SERENDIB HOTELS PLC,SHOT.N0000,0.1805
2020-2,SERENDIB HOTELS PLC,SHOT.X0000,0.2664
2020-2,SERENDIB LAND PLC,SLND.N0000,0.1716
2020-2,SEYLAN BANK PLC,SEYB.N0000,0.5484
2020-2,SEYLAN BANK PLC,SEYB.X0000,0.5596
2020-2,SEYLAN DEVELOPMENTS PLC,CSD.N0000,0.2946
2020-2,SHALIMAR (MALAY) PLC.,SHAL.N0000,0.0075
2020-2,SIERRA CABLES PLC,SIRA.N0000,0.3744
2020-2,SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,0.3122
2020-2,SINGER (SRI LANKA) PLC,SINS.N0000,0.0772
2020-2,SINGER FINANCE LANKA PLC,SFIN.N0000,0.2004
2020-2,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,0.1227
2020-2,SINGHE HOSPITALS PLC,SINH.N0000,0.2328
2020-2,SINHAPUTHRA FINANCE PLC,SFL.N0000,0.9315
2020-2,SIYAPATHA FINANCE PLC,SLFL.N0000,0
2020-2,SOFTLOGIC CAPITAL PLC,SCAP.N0000,0.2472
2020-2,SOFTLOGIC FINANCE PLC,CRL.N0000,0.2012
2020-2,SOFTLOGIC HOLDINGS PLC,SHL.N0000,0.131
2020-2,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,0.1027
2020-2,SRI LANKA TELECOM PLC,SLTL.N0000,0.0552
2020-2,STANDARD CAPITAL PLC,SING.N0000,0.3841
2020-2,SUNSHINE HOLDINGS PLC,SUN.N0000,0.3229
2020-2,SWADESHI INDUSTRIAL WORKS  PLC,SWAD.N0000,0.4532
