Public Holding 2017 Q1 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2017-1,PEOPLE`S MERCHANT FINANCE  PLC,PMB.N0000,11.3%
2017-1,PEOPLE'S INSURANCE PLC,PINS.N0000,24.94%
2017-1,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,24.89%
2017-1,PIRAMAL GLASS CEYLON PLC,GLAS.N0000,43.54%
2017-1,PRINTCARE PLC,CARE.N0000,42.89%
2017-1,PROPERTY DEVELOPMENT PLC,PDL.N0000,4.44%
2017-1,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,95.43%
2017-1,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,14.59%
2017-1,RAMBODA FALLS PLC,RFL.N0000,28.37%
2017-1,REGNIS (LANKA) PLC,REG.N0000,41.16%
2017-1,RENUKA AGRI FOODS PLC,RAL.N0000,30.65%
2017-1,RENUKA CITY HOTELS PLC.,RENU.N0000,27.92%
2017-1,RENUKA FOODS PLC,COCO.N0000,29.62%
2017-1,RENUKA FOODS PLC,COCO.X0000,68.98%
2017-1,RENUKA HOLDINGS PLC,RHL.N0000,.42%
2017-1,RENUKA HOLDINGS PLC,RHL.X0000,94.14%
2017-1,RESUS ENERGY PLC,HPWR.N0000,37.89%
2017-1,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,.43%
2017-1,RICHARD PIERIS EXPORTS PLC,REXP.N0000,.2%
2017-1,ROYAL CERAMICS LANKA PLC,RCL.N0000,.47%
2017-1,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,13.08%
2017-1,S M B LEASING PLC,SEMB.N0000,83.53%
2017-1,S M B LEASING PLC,SEMB.X0000,100%
2017-1,SAMPATH BANK PLC,SAMP.N0000,83.36%
2017-1,SAMSON INTERNATIONAL PLC,SIL.N0000,42.41%
2017-1,SANASA DEVELOPMENT BANK PLC,SDB.N0000,99.99%
2017-1,SATHOSA MOTORS PLC,SMOT.N0000,15.46%
2017-1,SELINSING PLC,SELI.N0000,3.78%
2017-1,SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,21.6%
2017-1,SERENDIB ENGINEERING GROUP PLC,IDL.N0000,23.73%
2017-1,SERENDIB HOTELS PLC,SHOT.N0000,20.82%
2017-1,SERENDIB HOTELS PLC,SHOT.X0000,26.64%
2017-1,SERENDIB LAND PLC,SLND.N0000,14.72%
2017-1,SEYLAN BANK PLC,SEYB.X0000,55.96%
2017-1,SEYLAN BANK PLC,SEYB.N0000,54.27%
2017-1,SEYLAN DEVELOPMENTS PLC,CSD.N0000,29.46%
2017-1,SHALIMAR (MALAY) PLC.,SHAL.N0000,.73%
2017-1,SIERRA CABLES PLC,SIRA.N0000,37.55%
2017-1,SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,32.6%
2017-1,SINGER (SRI LANKA) PLC,SINS.N0000,20.32%
2017-1,SINGER FINANCE LANKA PLC,SFIN.N0000,19.5%
2017-1,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,12.27%
2017-1,SINGHE HOSPITALS PLC,SINH.N0000,25.23%
2017-1,SINHAPUTHRA FINANCE PLC,SFL.N0000,49.71%
2017-1,SOFTLOGIC CAPITAL PLC,SCAP.N0000,25.62%
2017-1,SOFTLOGIC FINANCE PLC,CRL.N0000,29.83%
2017-1,SOFTLOGIC HOLDINGS PLC,SHL.N0000,28.17%
2017-1,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,2.76%
2017-1,SRI LANKA TELECOM PLC,SLTL.N0000,5.52%
2017-1,STANDARD CAPITAL PLC,SING.N0000,39.36%
2017-1,SUMMIT FINANCE PLC,GSF.N0000,24.46%
2017-1,SUNSHINE HOLDINGS PLC,SUN.N0000,7.04%
2017-1,SWADESHI INDUSTRIAL WORKS  PLC,SWAD.N0000,46.44%
2017-1,SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,10%
2017-1,SWISSTEK (CEYLON) PLC,PARQ.N0000,32.38%
2017-1,TAL LANKA HOTELS PLC,TAJ.N0000,17.24%
2017-1,TALAWAKELLE TEA ESTATES PLC,TPL.N0000,20.27%
2017-1,TANGERINE BEACH HOTELS PLC,TANG.N0000,35.58%
2017-1,TAPROBANE HOLDINGS PLC,TAP.N0000,.79%
2017-1,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,33.05%
2017-1,TEEJAY LANKA PLC,TJL.N0000,38.13%
2017-1,TESS AGRO PLC,TESS.X0000,85.17%
2017-1,TESS AGRO PLC,TESS.N0000,.49%
2017-1,THE  LIGHTHOUSE  HOTEL  PLC,LHL.N0000,31.44%
2017-1,THE AUTODROME PLC,AUTO.N0000,22.59%
2017-1,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,32.28%
2017-1,THE FINANCE COMPANY PLC,TFC.N0000,63.4%
2017-1,THE FINANCE COMPANY PLC,TFC.X0000,100%
2017-1,THE FORTRESS RESORTS PLC,RHTL.N0000,18.17%
2017-1,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,21.05%
2017-1,THE KINGSBURY PLC,SERV.N0000,38.68%
2017-1,THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,16.73%
2017-1,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,10.84%
2017-1,THREE ACRE FARMS PLC,TAFL.N0000,27.79%
2017-1,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,31.42%
