Public Holding 2016 Q3 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY,PUBLIC FLOAT
2016-3,RICHARD PIERIS EXPORTS PLC,REXP.N0000,0.1974
2016-3,RIVERINA HOTELS PLC,BHR.N0000,0.2549
2016-3,ROYAL CERAMICS LANKA PLC,RCL.N0000,0.4747
2016-3,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,0.1308
2016-3,S M B LEASING PLC,SEMB.N0000,0.8353
2016-3,S M B LEASING PLC,SEMB.X0000,1
2016-3,SAMPATH BANK PLC,SAMP.N0000,0.8331
2016-3,SAMSON INTERNATIONAL PLC,SIL.N0000,0.4241
2016-3,SANASA DEVELOPMENT BANK PLC,SDB.N0000,0.9999
2016-3,SATHOSA MOTORS PLC,SMOT.N0000,0.1546
2016-3,SELINSING PLC,SELI.N0000,0.0378
2016-3,SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,0.216
2016-3,SERENDIB ENGINEERING GROUP PLC,IDL.N0000,0.2376
2016-3,SERENDIB HOTELS PLC,SHOT.N0000,0.2001
2016-3,SERENDIB HOTELS PLC,SHOT.X0000,0.2664
2016-3,SERENDIB LAND PLC,SLND.N0000,0.1472
2016-3,SEYLAN BANK PLC,SEYB.X0000,0.5596
2016-3,SEYLAN BANK PLC,SEYB.N0000,0.5427
2016-3,SEYLAN DEVELOPMENTS PLC,CSD.N0000,0.2946
2016-3,SHALIMAR (MALAY) PLC.,SHAL.N0000,0.0073
2016-3,SIERRA CABLES PLC,SIRA.N0000,0.3757
2016-3,SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,0.3299
2016-3,SINGER (SRI LANKA) PLC,SINS.N0000,0.2032
2016-3,SINGER FINANCE LANKA PLC,SFIN.N0000,0.1953
2016-3,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,0.1227
2016-3,SINGHE HOSPITALS PLC,SINH.N0000,0.2533
2016-3,SINHAPUTHRA FINANCE PLC,SFL.N0000,0.9965
2016-3,SOFTLOGIC CAPITAL PLC,SCAP.N0000,0.261
2016-3,SOFTLOGIC FINANCE PLC,CRL.N0000,0.2983
2016-3,SOFTLOGIC HOLDINGS PLC,SHL.N0000,0.2827
2016-3,SRI LANKA TELECOM PLC,SLTL.N0000,0.0552
2016-3,STANDARD CAPITAL PLC,SING.N0000,0.3936
2016-3,SUMMIT FINANCE PLC,GSF.N0000,0.2446
