symbol,yahoo_symbol,status_code,bar_count,first_date,last_date,has_2026_rows,invalid_ohlc_rows,latest_close,error
HUNA.N0000,HUNA-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,19.600000381469727,
HUNT.N0000,HUNT-N0000.CM,200,104,2026-01-02,2026-05-29,True,14,1450.25,
HVA.N0000,HVA-N0000.CM,404,0,,,False,0,,HTTP status 404
INME.N0000,INME-N0000.CM,404,0,,,False,0,,HTTP status 404
JAT.N0000,JAT-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,43.900001525878906,
JETS.N0000,JETS-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,17.700000762939453,
JFP.N0000,JFP-N0000.CM,404,0,,,False,0,,HTTP status 404
JINS.N0000,JINS-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,48.5,
JKH.N0000,JKH-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,22.600000381469727,
JKL.N0000,JKL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,82.4000015258789,
JXG.N0000,JXG-N0000.CM,404,0,,,False,0,,HTTP status 404
KAHA.N0000,KAHA-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,20.0,
KCAB.N0000,KCAB-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,137.25,
KDL.N0000,KDL-N0000.CM,200,106,2026-01-02,2026-05-29,True,0,21.5,
KFP.N0000,KFP-N0000.CM,200,104,2026-01-02,2026-05-29,True,6,162.5,
KGAL.N0000,KGAL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,141.5,
KHC.N0000,KHC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,16.5,
KHL.N0000,KHL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,21.200000762939453,
KOTA.N0000,KOTA-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,9.199999809265137,
KPHL.N0000,KPHL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,21.799999237060547,
KVAL.N0000,KVAL-N0000.CM,200,104,2026-01-02,2026-05-29,True,0,89.5,
KZOO.N0000,KZOO-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,13.600000381469727,
LALU.N0000,LALU-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,48.599998474121094,
LAMB.N0000,LAMB-N0000.CM,200,104,2026-01-02,2026-05-29,True,10,1460.0,
LCBF.N0000,LCBF-N0000.CM,404,0,,,False,0,,HTTP status 404
LCEY.N0000,LCEY-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,46.79999923706055,
LDEV.N0000,LDEV-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,20.700000762939453,
LFIN.N0000,LFIN-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,163.75,
LGIL.N0000,LGIL-N0000.CM,404,0,,,False,0,,HTTP status 404
LGL.N0000,LGL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,68.5,
LGL.X0000,LGL-X0000.CM,200,104,2026-01-02,2026-05-29,True,0,52.599998474121094,
LHCL.N0000,LHCL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,108.5,
LHL.N0000,LHL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,79.5,
LIOC.N0000,LIOC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,143.5,
LION.N0000,LION-N0000.CM,200,104,2026-01-02,2026-05-29,True,7,1831.5,
LITE.N0000,LITE-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,52.0,
LLUB.N0000,LLUB-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,199.5,
LMF.N0000,LMF-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,87.30000305175781,
LOFC.N0000,LOFC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,5.800000190734863,
LOLC.N0000,LOLC-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,581.5,
LPL.N0000,LPL-N0000.CM,404,0,,,False,0,,HTTP status 404
LPL.X0000,LPL-X0000.CM,404,0,,,False,0,,HTTP status 404
LPRT.N0000,LPRT-N0000.CM,200,104,2026-01-02,2026-05-29,True,11,760.75,
LUMX.N0000,LUMX-N0000.CM,404,0,,,False,0,,HTTP status 404
LVEF.N0000,LVEF-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,8.594120025634766,
LVEN.N0000,LVEN-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,60.099998474121094,
LWL.N0000,LWL-N0000.CM,200,104,2026-01-02,2026-05-29,True,1,50.599998474121094,
MADU.N0000,MADU-N0000.CM,200,104,2026-01-02,2026-05-29,True,2,12.0,
