DAILY HIGH LOW AND CLOSING PRICE OF 02ND JANUARY TO 31ST DECEMBER 2012,,,,,,,,,,
Company Id,:  AAF,Security,Type :  N,Sub Type,:  0000,,,,,
Short Name,:  ASIA ASSET,,,,,,,,,
Day,Date High,High (Rs.),Date Low,Low (Rs.),Closing (Rs.),Trades(No.),Shares(No.),Turnover(Rs.),Last Traded,Days Traded 
2012-01-10 00:00:00,2012-01-10 00:00:00,22.7,2012-01-10 00:00:00,22.7,22.7,1,900,20430,2012-01-10 00:00:00,1
2012-01-12 00:00:00,2012-01-12 00:00:00,22,2012-01-12 00:00:00,21.6,22,6,2500,54730,2012-01-12 00:00:00,1
2012-01-13 00:00:00,2012-01-13 00:00:00,24,2012-01-13 00:00:00,24,24,2,500,12000,2012-01-13 00:00:00,1
2012-01-17 00:00:00,2012-01-17 00:00:00,24,2012-01-17 00:00:00,23.1,23.6,5,4400,103800,2012-01-17 00:00:00,1
2012-01-18 00:00:00,2012-01-18 00:00:00,23,2012-01-18 00:00:00,21,21.2,6,2700,59100,2012-01-18 00:00:00,1
2012-01-20 00:00:00,2012-01-20 00:00:00,22,2012-01-20 00:00:00,20,20.3,6,1000,20840,2012-01-20 00:00:00,1
2012-01-23 00:00:00,2012-01-23 00:00:00,20,2012-01-23 00:00:00,19.5,19.5,5,3200,63250,2012-01-23 00:00:00,1
2012-01-24 00:00:00,2012-01-24 00:00:00,20,2012-01-24 00:00:00,19.1,19.7,13,10900,215390,2012-01-24 00:00:00,1
2012-01-25 00:00:00,2012-01-25 00:00:00,19.3,2012-01-25 00:00:00,19.3,19.3,1,500,9650,2012-01-25 00:00:00,1
2012-01-27 00:00:00,2012-01-27 00:00:00,23,2012-01-27 00:00:00,20.5,22.6,53,59100,1321700,2012-01-27 00:00:00,1
2012-01-30 00:00:00,2012-01-30 00:00:00,23.9,2012-01-30 00:00:00,22.8,23.3,26,12800,298520,2012-01-30 00:00:00,1
2012-01-31 00:00:00,2012-01-31 00:00:00,22,2012-01-31 00:00:00,21.6,21.6,5,20100,442160,2012-01-31 00:00:00,1
2012-02-01 00:00:00,2012-02-01 00:00:00,23.7,2012-02-01 00:00:00,21.6,21.6,10,12700,294740,2012-02-01 00:00:00,1
2012-02-02 00:00:00,2012-02-02 00:00:00,21.5,2012-02-02 00:00:00,21,21,9,136100,2862610,2012-02-02 00:00:00,1
2012-02-03 00:00:00,2012-02-03 00:00:00,23.5,2012-02-03 00:00:00,22,22.5,6,21700,508050,2012-02-03 00:00:00,1
2012-02-06 00:00:00,2012-02-06 00:00:00,22.9,2012-02-06 00:00:00,22.9,22.9,2,10000,229000,2012-02-06 00:00:00,1
2012-02-08 00:00:00,2012-02-08 00:00:00,21.2,2012-02-08 00:00:00,20,20,5,4500,91550,2012-02-08 00:00:00,1
2012-02-09 00:00:00,2012-02-09 00:00:00,20,2012-02-09 00:00:00,19.1,19.3,14,7100,138150,2012-02-09 00:00:00,1
2012-02-13 00:00:00,2012-02-13 00:00:00,18.7,2012-02-13 00:00:00,18,18,17,13100,238980,2012-02-13 00:00:00,1
2012-02-14 00:00:00,2012-02-14 00:00:00,17.1,2012-02-14 00:00:00,13.5,13.5,12,6200,94380,2012-02-14 00:00:00,1
2012-02-15 00:00:00,2012-02-15 00:00:00,16,2012-02-15 00:00:00,13,15.1,20,29100,435660,2012-02-15 00:00:00,1
2012-02-16 00:00:00,2012-02-16 00:00:00,19.1,2012-02-16 00:00:00,16,19.1,19,19900,367480,2012-02-16 00:00:00,1
2012-02-17 00:00:00,2012-02-17 00:00:00,20,2012-02-17 00:00:00,16,19,27,27300,519260,2012-02-17 00:00:00,1
2012-02-21 00:00:00,2012-02-21 00:00:00,19,2012-02-21 00:00:00,19,19,3,4400,83600,2012-02-21 00:00:00,1
2012-02-22 00:00:00,2012-02-22 00:00:00,20,2012-02-22 00:00:00,17.2,18.5,40,46400,893420,2012-02-22 00:00:00,1
2012-02-23 00:00:00,2012-02-23 00:00:00,20.5,2012-02-23 00:00:00,18.5,20,20,15900,316930,2012-02-23 00:00:00,1
2012-02-27 00:00:00,2012-02-27 00:00:00,17.6,2012-02-27 00:00:00,17.5,17.6,5,782,13763,2012-02-27 00:00:00,1
2012-02-28 00:00:00,2012-02-28 00:00:00,19.5,2012-02-28 00:00:00,17.6,17.7,4,501,8859.5,2012-02-28 00:00:00,1
2012-02-29 00:00:00,2012-02-29 00:00:00,17.8,2012-02-29 00:00:00,17.7,17.8,4,3498,62214.4,2012-02-29 00:00:00,1
2012-03-01 00:00:00,2012-03-01 00:00:00,20,2012-03-01 00:00:00,17.8,19.2,5,751,14570,2012-03-01 00:00:00,1
2012-03-02 00:00:00,2012-03-02 00:00:00,19.2,2012-03-02 00:00:00,19.2,19.2,1,100,1920,2012-03-02 00:00:00,1
2012-03-05 00:00:00,2012-03-05 00:00:00,19,2012-03-05 00:00:00,18.3,18.3,4,2600,47650,2012-03-05 00:00:00,1
2012-03-06 00:00:00,2012-03-06 00:00:00,18.8,2012-03-06 00:00:00,17.5,17.7,6,1065,18670.6,2012-03-06 00:00:00,1
2012-03-08 00:00:00,2012-03-08 00:00:00,17.5,2012-03-08 00:00:00,16,16.1,16,5682,93042,2012-03-08 00:00:00,1
2012-03-09 00:00:00,2012-03-09 00:00:00,17,2012-03-09 00:00:00,16,17,3,514,8238,2012-03-09 00:00:00,1
2012-03-13 00:00:00,2012-03-13 00:00:00,16.9,2012-03-13 00:00:00,16.9,16.9,1,1,16.9,2012-03-13 00:00:00,1
2012-03-14 00:00:00,2012-03-14 00:00:00,17,2012-03-14 00:00:00,16,16.2,4,945,15165,2012-03-14 00:00:00,1
2012-03-15 00:00:00,2012-03-15 00:00:00,17.3,2012-03-15 00:00:00,15.5,17.3,10,3000,48133.6,2012-03-15 00:00:00,1
2012-03-16 00:00:00,2012-03-16 00:00:00,17,2012-03-16 00:00:00,17,17,2,1100,18700,2012-03-16 00:00:00,1
2012-03-19 00:00:00,2012-03-19 00:00:00,16.1,2012-03-19 00:00:00,16.1,16.1,7,2100,33810,2012-03-19 00:00:00,1
2012-03-20 00:00:00,2012-03-20 00:00:00,17.2,2012-03-20 00:00:00,15.1,17.1,4,102,1738.2,2012-03-20 00:00:00,1
2012-03-21 00:00:00,2012-03-21 00:00:00,15.6,2012-03-21 00:00:00,15.6,15.6,1,500,7800,2012-03-21 00:00:00,1
2012-03-22 00:00:00,2012-03-22 00:00:00,15.6,2012-03-22 00:00:00,15.6,15.6,2,1000,15600,2012-03-22 00:00:00,1
2012-03-23 00:00:00,2012-03-23 00:00:00,16.9,2012-03-23 00:00:00,15.6,16.9,7,3100,50200,2012-03-23 00:00:00,1
2012-03-26 00:00:00,2012-03-26 00:00:00,18,2012-03-26 00:00:00,17.5,17.6,20,12173,215128.5,2012-03-26 00:00:00,1
2012-03-27 00:00:00,2012-03-27 00:00:00,17.6,2012-03-27 00:00:00,17.1,17.2,4,940,16218,2012-03-27 00:00:00,1
2012-03-28 00:00:00,2012-03-28 00:00:00,18,2012-03-28 00:00:00,17.2,18,3,135,2350,2012-03-28 00:00:00,1
2012-03-29 00:00:00,2012-03-29 00:00:00,18.3,2012-03-29 00:00:00,17.1,17.1,2,1005,17191.5,2012-03-29 00:00:00,1
2012-03-30 00:00:00,2012-03-30 00:00:00,18.5,2012-03-30 00:00:00,18.3,18.5,11,13120,240300,2012-03-30 00:00:00,1
2012-04-02 00:00:00,2012-04-02 00:00:00,18,2012-04-02 00:00:00,17,17.8,11,5904,102352,2012-04-02 00:00:00,1
2012-04-03 00:00:00,2012-04-03 00:00:00,17,2012-04-03 00:00:00,16.2,16.3,7,2424,39740.5,2012-04-03 00:00:00,1
2012-04-04 00:00:00,2012-04-04 00:00:00,16.8,2012-04-04 00:00:00,13.5,14.3,25,31918,458208.8,2012-04-04 00:00:00,1
2012-04-05 00:00:00,2012-04-05 00:00:00,16,2012-04-05 00:00:00,13.8,13.9,40,61300,853430,2012-04-05 00:00:00,1
2012-04-09 00:00:00,2012-04-09 00:00:00,14.5,2012-04-09 00:00:00,14.5,14.5,2,1000,14500,2012-04-09 00:00:00,1
2012-04-10 00:00:00,2012-04-10 00:00:00,14.1,2012-04-10 00:00:00,14,14,5,1800,25220,2012-04-10 00:00:00,1
2012-04-11 00:00:00,2012-04-11 00:00:00,14.4,2012-04-11 00:00:00,14.1,14.3,13,5500,79080,2012-04-11 00:00:00,1
2012-04-16 00:00:00,2012-04-16 00:00:00,14.2,2012-04-16 00:00:00,14.1,14.1,9,2805,39670.5,2012-04-16 00:00:00,1
2012-04-18 00:00:00,2012-04-18 00:00:00,14.7,2012-04-18 00:00:00,14.4,14.4,5,2381,34519.7,2012-04-18 00:00:00,1
2012-04-19 00:00:00,2012-04-19 00:00:00,14.9,2012-04-19 00:00:00,14,14.8,10,12091,175226.8,2012-04-19 00:00:00,1
2012-04-20 00:00:00,2012-04-20 00:00:00,15.4,2012-04-20 00:00:00,14.7,14.8,21,13000,194181,2012-04-20 00:00:00,1
2012-04-23 00:00:00,2012-04-23 00:00:00,14.5,2012-04-23 00:00:00,13.9,14.2,19,14532,210296.8,2012-04-23 00:00:00,1
2012-04-24 00:00:00,2012-04-24 00:00:00,14.1,2012-04-24 00:00:00,13.9,14.1,2,514,7244.6,2012-04-24 00:00:00,1
