"DAILY HIGH, LOW AND CLOSING PRICE OF 01ST JANUARY TO 31ST DECEMBER 2016",,,,,,,,,,
COMPANY ID, MAIN TYPE ,SUB TYPE, SHORT NAME ,TRADING DATE, PRICE HIGH (Rs.), PRICE LOW (Rs.),CLOSE PRICE (Rs.),TRADE VOLUME (No.) ,SHARE VOLUME (No.) ,TURNOVER (Rs.)
EAST,N,0,EAST WEST,2016-11-23 00:00:00,13.4,13.4,14.1,1,10,134
EAST,N,0,EAST WEST,2016-11-24 00:00:00,12.9,12.9,12.9,1,200,2580
EAST,N,0,EAST WEST,2016-11-25 00:00:00,14,13.9,14,11,1550,21650
EAST,N,0,EAST WEST,2016-11-28 00:00:00,13.1,13.1,13.1,1,655,8580.5
EAST,N,0,EAST WEST,2016-11-29 00:00:00,15.5,13.1,14.9,40,32655,467626.9
EAST,N,0,EAST WEST,2016-11-30 00:00:00,14.9,12.8,14.6,24,20025,285181.4
EAST,N,0,EAST WEST,2016-12-05 00:00:00,14.8,14.8,14.8,1,100,1480
EAST,N,0,EAST WEST,2016-12-08 00:00:00,13.7,13.7,13.7,1,500,6850
EAST,N,0,EAST WEST,2016-12-15 00:00:00,13.7,13.5,13.7,5,1100,15050
EAST,N,0,EAST WEST,2016-12-16 00:00:00,13.5,13.4,13.5,2,990,13356
EAST,N,0,EAST WEST,2016-12-19 00:00:00,13.4,13.1,13.1,2,2000,26254
EAST,N,0,EAST WEST,2016-12-20 00:00:00,13.1,13.1,13.1,1,80,1048
EAST,N,0,EAST WEST,2016-12-21 00:00:00,13.1,13.1,13.1,1,300,3930
EAST,N,0,EAST WEST,2016-12-22 00:00:00,13.2,13.2,13.2,1,382,5042.4
EAST,N,0,EAST WEST,2016-12-28 00:00:00,13.2,13.2,13.2,3,250,3300
EAST,N,0,EAST WEST,2016-12-30 00:00:00,14.7,13.4,14.7,6,7311,98317.4
 ,,,,,,,,,,
EBCR,N,0,E B CREASY,2016-01-04 00:00:00,1150,1150,1088.6,2,2,2300
EBCR,N,0,E B CREASY,2016-01-05 00:00:00,1150,1150,1088.6,1,5,5750
EBCR,N,0,E B CREASY,2016-01-08 00:00:00,1060,1060,1088.6,1,1,1060
EBCR,N,0,E B CREASY,2016-01-11 00:00:00,1059,1050,1088.6,4,30,31538
EBCR,N,0,E B CREASY,2016-01-12 00:00:00,1005,1000,1088.6,4,66,66007
EBCR,N,0,E B CREASY,2016-01-19 00:00:00,1000.1,1000.1,1088.6,1,4,4000.4
EBCR,N,0,E B CREASY,2016-02-10 00:00:00,1075,1075,1088.6,2,25,26875
EBCR,N,0,E B CREASY,2016-03-01 00:00:00,1100,1100,1088.6,2,46,50600
EBCR,N,0,E B CREASY,2016-03-04 00:00:00,1050,1050,1088.6,1,5,5250
EBCR,N,0,E B CREASY,2016-03-08 00:00:00,1000,1000,1088.6,3,48,48000
EBCR,N,0,E B CREASY,2016-03-16 00:00:00,1185,1184,1088.6,3,20,23695
EBCR,N,0,E B CREASY,2016-03-17 00:00:00,1360,1199.9,1335.6,23,246,328554.5
EBCR,N,0,E B CREASY,2016-03-21 00:00:00,1320,1320,1335.6,2,6,7920
EBCR,N,0,E B CREASY,2016-03-28 00:00:00,1335,1335,1335.6,1,5,6675
EBCR,N,0,E B CREASY,2016-04-25 00:00:00,1325,1325,1335.6,3,14,18550
EBCR,N,0,E B CREASY,2016-04-26 00:00:00,1325,1325,1335.6,1,10,13250
EBCR,N,0,E B CREASY,2016-05-05 00:00:00,1201,1200,1200.2,3,500,600080
EBCR,N,0,E B CREASY,2016-05-11 00:00:00,1360,1300,1350.5,5,506,681050
EBCR,N,0,E B CREASY,2016-05-17 00:00:00,1250,1205,1350.5,6,37,44962
EBCR,N,0,E B CREASY,2016-05-18 00:00:00,1300,1297,1350.5,4,10,12993
EBCR,N,0,E B CREASY,2016-05-25 00:00:00,1213.5,1213,1350.5,2,10,12132.5
EBCR,N,0,E B CREASY,2016-05-30 00:00:00,1250,1250,1350.5,2,50,62500
EBCR,N,0,E B CREASY,2016-05-31 00:00:00,1327,1250,1327,2,849,1126238
EBCR,N,0,E B CREASY,2016-06-02 00:00:00,1252,1251.5,1327,2,9,11264
EBCR,N,0,E B CREASY,2016-06-07 00:00:00,1320,1320,1327,1,5,6600
