Daily High Low and Closing Share Prices - 2011,,,,,,,,,,
Company Id :  AAIC,,Security Type :  N,,Sub Type :  0000,,,,,,
Short Name :  ASIAN ALLIANCE,,,,,,,,,,
Day,Date High,High,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2011-12-08 00:00:00,2011-12-08 00:00:00,260,2011-12-08 00:00:00,258,259.9,5,1000,259750,2011-12-08 00:00:00,1
2011-12-09 00:00:00,2011-12-09 00:00:00,248,2011-12-09 00:00:00,245,247,2,300,74100,2011-12-09 00:00:00,1
2011-12-12 00:00:00,2011-12-12 00:00:00,248,2011-12-12 00:00:00,228,232.8,16,3200,753140,2011-12-12 00:00:00,1
2011-12-14 00:00:00,2011-12-14 00:00:00,231,2011-12-14 00:00:00,230,230.5,2,200,46100,2011-12-14 00:00:00,1
2011-12-15 00:00:00,2011-12-15 00:00:00,245,2011-12-15 00:00:00,230,231.1,21,2400,557300,2011-12-15 00:00:00,1
2011-12-16 00:00:00,2011-12-16 00:00:00,230,2011-12-16 00:00:00,219.3,222.7,16,2800,628840,2011-12-16 00:00:00,1
2011-12-19 00:00:00,2011-12-19 00:00:00,230,2011-12-19 00:00:00,225,230,5,1900,435960,2011-12-19 00:00:00,1
2011-12-20 00:00:00,2011-12-20 00:00:00,225.4,2011-12-20 00:00:00,225.4,225.4,1,200,45080,2011-12-20 00:00:00,1
2011-12-21 00:00:00,2011-12-21 00:00:00,222,2011-12-21 00:00:00,222,222,1,200,44400,2011-12-21 00:00:00,1
2011-12-22 00:00:00,2011-12-22 00:00:00,240.2,2011-12-22 00:00:00,234.8,237.5,11,1100,260970,2011-12-22 00:00:00,1
2011-12-23 00:00:00,2011-12-23 00:00:00,248,2011-12-23 00:00:00,246,248,4,400,98990,2011-12-23 00:00:00,1
2011-12-27 00:00:00,2011-12-27 00:00:00,260,2011-12-27 00:00:00,240,253.9,31,5100,1295740,2011-12-27 00:00:00,1
2011-12-28 00:00:00,2011-12-28 00:00:00,255,2011-12-28 00:00:00,254,254,2,200,50900,2011-12-28 00:00:00,1
2011-12-29 00:00:00,2011-12-29 00:00:00,255,2011-12-29 00:00:00,240.1,254,5,1000,251520,2011-12-29 00:00:00,1
2011-12-30 00:00:00,2011-12-30 00:00:00,254,2011-12-30 00:00:00,254,254,1,100,25400,2011-12-30 00:00:00,1
Company Id,:  SINS,Security,Type :  N,Sub Type :  0000,,,,,,
Short Name,:  SINGER SRI LANKA,,,,,,,,,
Day,Date High,High,Date Low,Low,Closing,No. of Trades,No. of Shares,Turnover,Last Traded,Days Traded
2011-01-03 00:00:00,2011-01-03 00:00:00,195,2011-01-03 00:00:00,190,194,4,2500,481000,2011-01-03 00:00:00,1
2011-01-04 00:00:00,2011-01-04 00:00:00,190,2011-01-04 00:00:00,190,190,7,6100,1159000,2011-01-04 00:00:00,1
2011-01-05 00:00:00,2011-01-05 00:00:00,193,2011-01-05 00:00:00,190,191.4,4,1100,210500,2011-01-05 00:00:00,1
2011-01-06 00:00:00,2011-01-06 00:00:00,191.4,2011-01-06 00:00:00,191,191.1,4,600,114720,2011-01-06 00:00:00,1
2011-01-07 00:00:00,2011-01-07 00:00:00,195,2011-01-07 00:00:00,192,193.4,3,800,154900,2011-01-07 00:00:00,1
2011-01-10 00:00:00,2011-01-10 00:00:00,193.9,2011-01-10 00:00:00,192.9,193,9,13200,2547600,2011-01-10 00:00:00,1
2011-01-11 00:00:00,2011-01-11 00:00:00,193,2011-01-11 00:00:00,193,193,1,500,96500,2011-01-11 00:00:00,1
2011-01-12 00:00:00,2011-01-12 00:00:00,200,2011-01-12 00:00:00,165,198.7,9,7900,1526940,2011-01-12 00:00:00,1
2011-01-14 00:00:00,2011-01-14 00:00:00,200,2011-01-14 00:00:00,198.5,200,6,8400,1679670,2011-01-14 00:00:00,1
2011-01-17 00:00:00,2011-01-17 00:00:00,200,2011-01-17 00:00:00,195,197.1,10,3900,772470,2011-01-17 00:00:00,1
2011-01-18 00:00:00,2011-01-18 00:00:00,225,2011-01-18 00:00:00,197,219.7,81,40400,8321340,2011-01-18 00:00:00,1
2011-01-20 00:00:00,2011-01-20 00:00:00,225,2011-01-20 00:00:00,210.1,216.9,16,4200,915270,2011-01-20 00:00:00,1
2011-01-21 00:00:00,2011-01-21 00:00:00,217,2011-01-21 00:00:00,210,213.9,16,6200,1336840,2011-01-21 00:00:00,1
2011-01-24 00:00:00,2011-01-24 00:00:00,210,2011-01-24 00:00:00,200,204.6,9,3600,738380,2011-01-24 00:00:00,1
2011-01-25 00:00:00,2011-01-25 00:00:00,206.9,2011-01-25 00:00:00,199,202.4,4,1800,363100,2011-01-25 00:00:00,1
2011-01-26 00:00:00,2011-01-26 00:00:00,204,2011-01-26 00:00:00,197,204,2,4500,889300,2011-01-26 00:00:00,1
2011-01-27 00:00:00,2011-01-27 00:00:00,203,2011-01-27 00:00:00,203,203,1,100,20300,2011-01-27 00:00:00,1
2011-01-28 00:00:00,2011-01-28 00:00:00,205,2011-01-28 00:00:00,200,204.1,11,3600,733870,2011-01-28 00:00:00,1
2011-01-31 00:00:00,2011-01-31 00:00:00,201,2011-01-31 00:00:00,199,200,7,3800,761400,2011-01-31 00:00:00,1
2011-02-01 00:00:00,2011-02-01 00:00:00,200,2011-02-01 00:00:00,195,195,5,2400,471500,2011-02-01 00:00:00,1
2011-02-02 00:00:00,2011-02-02 00:00:00,200,2011-02-02 00:00:00,195,200,7,1800,358890,2011-02-02 00:00:00,1
2011-02-03 00:00:00,2011-02-03 00:00:00,210,2011-02-03 00:00:00,203,206.8,17,6300,1296620,2011-02-03 00:00:00,1
2011-02-07 00:00:00,2011-02-07 00:00:00,206.8,2011-02-07 00:00:00,200,201,3,2000,411660,2011-02-07 00:00:00,1
2011-02-08 00:00:00,2011-02-08 00:00:00,215,2011-02-08 00:00:00,199,208.5,11,10100,2039030,2011-02-08 00:00:00,1
2011-02-09 00:00:00,2011-02-09 00:00:00,221,2011-02-09 00:00:00,210,216.4,58,30900,6679710,2011-02-09 00:00:00,1
2011-02-10 00:00:00,2011-02-10 00:00:00,219.9,2011-02-10 00:00:00,212.5,213.2,10,4100,889170,2011-02-10 00:00:00,1
2011-02-11 00:00:00,2011-02-11 00:00:00,225,2011-02-11 00:00:00,200.2,206.1,12,6400,1393550,2011-02-11 00:00:00,1
2011-02-14 00:00:00,2011-02-14 00:00:00,219,2011-02-14 00:00:00,200,210.2,7,3500,728960,2011-02-14 00:00:00,1
2011-02-15 00:00:00,2011-02-15 00:00:00,210,2011-02-15 00:00:00,210,210,6,1300,273000,2011-02-15 00:00:00,1
2011-02-18 00:00:00,2011-02-18 00:00:00,209.9,2011-02-18 00:00:00,195.6,202.8,2,200,40550,2011-02-18 00:00:00,1
2011-02-21 00:00:00,2011-02-21 00:00:00,205,2011-02-21 00:00:00,199,199,2,600,122400,2011-02-21 00:00:00,1
2011-02-22 00:00:00,2011-02-22 00:00:00,202.7,2011-02-22 00:00:00,190,190.1,7,2000,381440,2011-02-22 00:00:00,1
2011-02-23 00:00:00,2011-02-23 00:00:00,210,2011-02-23 00:00:00,192,210,28,27400,5689860,2011-02-23 00:00:00,1
2011-02-24 00:00:00,2011-02-24 00:00:00,222,2011-02-24 00:00:00,210,219.6,59,91000,19947920,2011-02-24 00:00:00,1
2011-02-25 00:00:00,2011-02-25 00:00:00,218.9,2011-02-25 00:00:00,215,217,9,3600,784250,2011-02-25 00:00:00,1
2011-02-28 00:00:00,2011-02-28 00:00:00,220,2011-02-28 00:00:00,215,219.4,82,128000,28112880,2011-02-28 00:00:00,1
2011-03-01 00:00:00,2011-03-01 00:00:00,225,2011-03-01 00:00:00,210,218.2,18,21700,4670440,2011-03-01 00:00:00,1
2011-03-03 00:00:00,2011-03-03 00:00:00,230,2011-03-03 00:00:00,215,220.9,48,37500,8283700,2011-03-03 00:00:00,1
2011-03-04 00:00:00,2011-03-04 00:00:00,224,2011-03-04 00:00:00,218,219.9,9,5000,1096200,2011-03-04 00:00:00,1
2011-03-07 00:00:00,2011-03-07 00:00:00,220,2011-03-07 00:00:00,215,218.5,11,4400,967250,2011-03-07 00:00:00,1
2011-03-08 00:00:00,2011-03-08 00:00:00,230,2011-03-08 00:00:00,217,217.6,47,16300,3654940,2011-03-08 00:00:00,1
2011-03-09 00:00:00,2011-03-09 00:00:00,214,2011-03-09 00:00:00,212,214,6,2300,491800,2011-03-09 00:00:00,1
2011-03-10 00:00:00,2011-03-10 00:00:00,215,2011-03-10 00:00:00,215,215,1,100,21500,2011-03-10 00:00:00,1
2011-03-11 00:00:00,2011-03-11 00:00:00,211,2011-03-11 00:00:00,200,209,13,27100,5711800,2011-03-11 00:00:00,1
2011-03-14 00:00:00,2011-03-14 00:00:00,208,2011-03-14 00:00:00,208,208,1,200,41600,2011-03-14 00:00:00,1
2011-03-15 00:00:00,2011-03-15 00:00:00,205,2011-03-15 00:00:00,205,205,1,1000,205000,2011-03-15 00:00:00,1
2011-03-16 00:00:00,2011-03-16 00:00:00,210,2011-03-16 00:00:00,200,205,4,2600,535000,2011-03-16 00:00:00,1
2011-03-17 00:00:00,2011-03-17 00:00:00,206,2011-03-17 00:00:00,196,205.6,4,2800,573800,2011-03-17 00:00:00,1
2011-03-18 00:00:00,2011-03-18 00:00:00,205,2011-03-18 00:00:00,200,202.5,2,200,40500,2011-03-18 00:00:00,1
2011-03-21 00:00:00,2011-03-21 00:00:00,203,2011-03-21 00:00:00,198.5,198.9,12,12300,2444050,2011-03-21 00:00:00,1
2011-03-22 00:00:00,2011-03-22 00:00:00,200,2011-03-22 00:00:00,199,199.3,14,4700,938100,2011-03-22 00:00:00,1
2011-03-23 00:00:00,2011-03-23 00:00:00,200,2011-03-23 00:00:00,199,199.2,8,2300,458400,2011-03-23 00:00:00,1
2011-03-24 00:00:00,2011-03-24 00:00:00,210,2011-03-24 00:00:00,202.9,210,25,34300,7010590,2011-03-24 00:00:00,1
2011-03-25 00:00:00,2011-03-25 00:00:00,210,2011-03-25 00:00:00,210,210,2,300,63000,2011-03-25 00:00:00,1
2011-03-28 00:00:00,2011-03-28 00:00:00,235,2011-03-28 00:00:00,210,221,18,30900,7180320,2011-03-28 00:00:00,1
2011-03-29 00:00:00,2011-03-29 00:00:00,228,2011-03-29 00:00:00,220,224.1,17,5600,1249870,2011-03-29 00:00:00,1
2011-03-30 00:00:00,2011-03-30 00:00:00,224.9,2011-03-30 00:00:00,223.5,223.5,4,1000,224200,2011-03-30 00:00:00,1
2011-03-31 00:00:00,2011-03-31 00:00:00,224.6,2011-03-31 00:00:00,215,224.2,18,3700,819650,2011-03-31 00:00:00,1
2011-04-06 00:00:00,2011-04-06 00:00:00,112,2011-04-06 00:00:00,110,110.1,9,2000,221260,2011-04-06 00:00:00,1
2011-04-07 00:00:00,2011-04-07 00:00:00,109.7,2011-04-07 00:00:00,108,108.5,11,3200,348240,2011-04-07 00:00:00,1
2011-04-08 00:00:00,2011-04-08 00:00:00,114,2011-04-08 00:00:00,107,110.2,18,9200,1013350,2011-04-08 00:00:00,1
2011-04-11 00:00:00,2011-04-11 00:00:00,110,2011-04-11 00:00:00,108,108.3,8,1300,140800,2011-04-11 00:00:00,1
2011-04-12 00:00:00,2011-04-12 00:00:00,110,2011-04-12 00:00:00,109.9,109.9,7,2300,252800,2011-04-12 00:00:00,1
