Dividend Records - 2012,,,,,,,
DATE OF ANNOUNCEMENT, SECURITY CODE,COMPANY,RATE AND REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX PRICE
2012-05-29 00:00:00, VFIN-N-0000, VALLIBEL FINANCE, FIRST AND FINAL DIVIDEND OF RS. 1.00 PER SHARE, 08-JUN-12, 19-JUN-12,31,31.9
2012-05-30 00:00:00, CDB-N-0000,CITIZENS DEVELOPMENT BUSINESS FINANCE, FIRST AND FINAL DIVIDEND OF RS. 1.00 PER SHARE, 29-JUN-12, 10-JUL-12,37.9,36.6
2012-05-30 00:00:00, DIMO-N-0000, DIMO, FINAL DIVIDEND OF RS. 27.50 PER SHARE, 11-JUN-12, 20-JUN-12,586.4,570
2012-05-30 00:00:00, EBCR-N-0000, E B CREASY, FIRST AND FINAL DIVIDEND OF RS. 10.00 PER SHARE, 02-JUL-12, 11-JUL-12,1000,1000
2012-05-30 00:00:00, SUN-N-0000, SUNSHINE HOLDING, FIRST AND FINAL DIVIDEND OF RS. 0.30 PER SHARE, 30-JUL-12, 08-AUG-12,25.2,25
2012-05-30 00:00:00, YORK-N-0000, YORK ARCADE, FIRST AND FINAL DIVIDEND OF RS. 0.40 PER SHARE, 02-JUL-12, 11-JUL-12,13.6,13
2012-05-31 00:00:00, CRL-N-0000, SOFTLOGIC FINANCE, INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 12-JUN-12, 21-JUN-12,36.7,37
2012-05-31 00:00:00, UML-N-0000, UNITED MOTORS, FINAL DIVIDEND OF RS. 6.00 PER SHARE, 29-JUN-12, 09-JUL-12,76.2,69.9
2012-06-01 00:00:00, HOPL-N-0000, HORANA, FINAL DIVIDEND OF RS. 1.00 PER SHARE, 23-JUL-12, 31-JUL-12,21.2,20.5
2012-06-05 00:00:00, AGST-N-0000, AGSTAR FERTILIZER, INTERIM DIVIDEND OF RS. 0.05 PER SHARE (VOTING & NON VOTING), 14-JUN-12, 22-JUN-12,7.1,7.9
2012-06-05 00:00:00, MAL-N-0000, MALWATTE PLANTATIONS, FINAL DIVIDEND OF RS. 0.05 PER SHARE (VOTING & NON-VOTING), 05-JUL-12, 12-JUL-12,3.6,3.5
2012-06-05 00:00:00, SFIN-N-0000, SINGER FINANCE, FINAL DIVIDEND OF RS. 0.80 PER SHARE, 14-JUN-12, 25-JUN-12,12.7,12.4
2012-06-07 00:00:00, LFIN-N-0000, LB FINANCE, FIRST AND FINAL DIVIDEND OF RS. 5.00 PER SHARE, 02-JUL-12, 09-JUL-12,121.2,120.9
2012-06-08 00:00:00, SMOT-N-0000, SATHOSA MOTORS, FINAL DIVIDEND OF RS. 5.00 PER SHARE, 23-JUL-12, 31-JUL-12,200,191
2012-06-11 00:00:00, SMLL-N-0000, PEOPLE'S FINANCE, INTERIM DIVIDEND OF RS.2.50 PER SHARE, 20-JUN-12, 29-JUN-12,28.9,26.2
2012-06-12 00:00:00, PAP-N-0000, PANASIAN POWER, INTERIM DIVIDEND OF RS. 0.15 PER SHARE, 21-JUN-12, 29-JUN-12,2.7,2.5
2012-06-12 00:00:00, TILE-N-0000, LANKA FLOORTILES, SECOND INTERIM DIVIDEND OF RS.3.00 PER SHARE, 21-JUN-12, 02-JUL-12,68.5,65
2012-06-14 00:00:00, HSIG-N-0000, HOTEL SIGIRIYA, FINAL DIVIDEND OF RS. 2.50 PER SHARE (AMENDED), 12-JUL-12, 20-JUL-12,75,75.9
2012-06-14 00:00:00, STAF-N-0000, DOLPHIN HOTELS, FINAL DIVIDEND OF RS. 1.50 PER SHARE (AMENDED), 12-JUL-12, 20-JUL-12,32,29
2012-06-18 00:00:00, TKYO-N-0000, TOKYO CEMENT, FIRST AND FINAL DIVIDEND OF RS. 1.30 PER SHARE ( VOTING & NON-VOTING), 23-JUL-12, 31-JUL-12,28.8,28.2
