DIVIDEND ANNOUNCEMENTS 2014,,,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT_NAME,INTERNAL_REMARKS,EXTERNAL_REMARKS, DATE_OF_EX,DATE OF PAYMENT,CUM PRICE,EX_PRICE
2014-05-08 00:00:00, DIPD-N-0000, DIPPED PRODUCTS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 3.00 PER SHARE (NOT LIABLE TO 10% DIVIDEND TAX), 27-JUN-14, 07-JUL-14,104.2,102.6
2014-05-09 00:00:00, ALUM-N-0000, ALUMEX PLC, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.25 PER SHARE (LIABLE TO 10% DIVIDEND TAX), 30-JUN-14, 07-JUL-14,14,14
2014-05-09 00:00:00, CTC-N-0000, CEYLON TOBACCO, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 10.80 PER SHARE, 22-MAY-14, 28-MAY-14,1083.7,1082
2014-05-09 00:00:00, MAL-N-0000, MALWATTE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.10 PER SHARE (VOTING & NON VOTING), 10-JUN-14, 19-JUN-14,3.8,3.8
2014-05-13 00:00:00, PEG-N-0000, PEGASUS HOTELS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.50 PER SHARE (RS. 0.29 PER SHARE WOULD NOT BE SUBJECTED TO TAX & RS. 0.21 PER SHARE WOULD BE SUBJECTED TO A DIVIDEND TAX OF 10%), 18-JUN-14, 26-JUN-14,42,41
2014-05-13 00:00:00, BFL-N-0000, BAIRAHA FARMS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.25 PER SHARE, 26-MAY-14, 04-JUN-14,132.9,130
2014-05-13 00:00:00, EQIT-N-0000, EQUITY, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.35 PER SHARE (WOULD NOT BE SUBJECTED TO DIVIDEND TAX), 20-JUN-14, 30-JUN-14,32.3,35.6
2014-05-13 00:00:00, HAYC-N-0000, HAYCARB, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 3.00 PER SHARE (RS. 2.66 LIABLE TO 10% DIVIDEND TAX RS. 0.34 NOT LIABLE TO 10% DIVIDEND TAX), 26-JUN-14, 04-JUL-14,193,186
2014-05-16 00:00:00, HUNA-N-0000, HUNAS FALLS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE (LIABLE TO 10% DIVIDEND TAX), 27-JUN-14, 04-JUL-14,51.5,50
2014-05-16 00:00:00, PLC-N-0000, PEOPLES LEASING, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 30-JUN-14, 08-JUL-14,16.4,16
2014-05-19 00:00:00, AHUN-N-0000, A.SPEN.HOT.HOLD., SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.50 PER SHARE, 01-JUL-14, 09-JUL-14,76.6,76.4
2014-05-19 00:00:00, SPEN-N-0000, AITKEN SPENCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE, 01-JUL-14, 09-JUL-14,103,102
2014-05-20 00:00:00, SFCL-N-0000, SENKADAGALA, SHARE TRANSFER BOOK OPEN, THIRD INTERIM DIVIDEND OF RS. 0.80 PER SHARE, 29-MAY-14, 09-JUN-14,50,60
2014-05-20 00:00:00, TJL-N-0000, TEXTURED JERSEY, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.80 PER SHARE, 08-AUG-14, 18-AUG-14,20.2,19.2
2014-05-20 00:00:00, HAYL-N-0000, HAYLEYS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 5.00 PER SHARE (NOT LIABLE TO 10% DIVIDEND TAX), 30-JUN-14, 08-JUL-14,290.2,290
2014-05-20 00:00:00, WATA-N-0000, WATAWALA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 01-JUL-14, 09-JUL-14,13.5,13.2
2014-05-21 00:00:00, MBSL-N-0000, MERCHANT BANK, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.50 PER SHARE, 25-JUN-14, 03-JUL-14,16.2,15.9
2014-05-21 00:00:00, CHMX-N-0000, CHEMANEX, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 01-JUL-14, 09-JUL-14,71,71.5
2014-05-23 00:00:00, DIMO-N-0000, DIMO, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 10.00 PER SHARE, 03-JUN-14, 13-JUN-14,511,511
2014-05-23 00:00:00, SUN-N-0000, SUNSHINE HOLDING, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.95 PER SHARE, 01-JUL-14, 09-JUL-14,33,32.1
2014-05-23 00:00:00, YORK-N-0000, YORK ARCADE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.40 PER SHARE, 01-JUL-14, 09-JUL-14,14.1,13.9
2014-05-26 00:00:00, SIGV-N-0000, SIGIRIYA VILLAGE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE, 14-JUL-14, 22-JUL-14,58.3,59.7
2014-05-26 00:00:00, STAF-N-0000, DOLPHIN HOTELS, SHARE TRANFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.00 PER SHARE, 07-JUL-14, 15-JUL-14,45,45
2014-05-26 00:00:00, AGST-N-0000, AGSTAR PLC, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.10 PER SHARE (VOTING & NON-VOTING), 01-JUL-14, 09-JUL-14,4.4,4.4
2014-05-27 00:00:00, TRAN-N-0000, TRANS ASIA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 05-JUN-14, 17-JUN-14,91.3,94
2014-05-27 00:00:00, JKH-N-0000, JKH, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 05-JUN-14, 17-JUN-14,235,235
2014-05-27 00:00:00, LGL-N-0000, LAUGFS GAS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE (VOTING & NON VOTING), 05-JUN-14, 17-JUN-14,35.1,33.5
2014-05-27 00:00:00, CCS-N-0000, COLD STORES, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 6.00 PER SHARE, 05-JUN-14, 17-JUN-14,157,155
2014-05-27 00:00:00, KFP-N-0000, KEELLS FOOD, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE, 05-JUN-14, 17-JUN-14,70,69.9
2014-05-27 00:00:00, LITE-N-0000, LAXAPANA, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.15 PER SHARE, 30-JUN-14, 08-JUL-14,4.5,4.5
