,,,,DIVIDEND ANNOUNCEMENTS 2022 (JANUARY TO DECEMBER),,,,
2022-09-14 00:00:00, TPL-N-0000, TALAWAKELLE,3, First interim, 23-SEP-22, 30-SEP-22,107.75,105.75
2022-09-15 00:00:00, KVAL-N-0000, KELANI VALLEY,2.5, First Interim, 26-SEP-22, 30-SEP-22,112.75,112.25
2022-09-16 00:00:00, SDF-N-0000, SARVODAYA DEVFIN,0.5, FINAL 21/22, 27-SEP-22, 18-OCT-22,12.4,11.7
2022-09-29 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,1.25, First interim : 22/23, 11-OCT-22, 21-OCT-22,38.3,35.9
2022-09-30 00:00:00, HAYC-N-0000, HAYCARB,2.75, 1st Interim Dividend for FY 2022/23, 12-OCT-22, 21-OCT-22,71.2,68.4
2022-09-30 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,2, 1st Interim Dividend for FY 2022/23, 12-OCT-22, 21-OCT-22,71.2,72.4
2022-10-11 00:00:00, UCAR-N-0000, UNION CHEMICALS,15, FY 25th December 2022 - first Interim, 20-OCT-22, 01-NOV-22,746.25,746.25
2022-10-26 00:00:00, ONAL-N-0000, ON'ALLY,0.6, Final dividend FY 2022, 04-NOV-22, 25-NOV-22,33.9,29.3
2022-10-27 00:00:00, ONAL-N-0000, ON'ALLY,1.5, First Interim FY 2023, 04-NOV-22, 25-NOV-22,33.9,29.3
2022-11-01 00:00:00, LLUB-N-0000, CHEVRON,5, First interim : FY 2022 , 11-NOV-22, 22-NOV-22,99.5,93.5
2022-11-04 00:00:00, JKH-N-0000, JKH,1, First interim 22/23, 16-NOV-22, 06-DEC-22,141.5,140.5
2022-11-04 00:00:00, MELS-N-0000, MELSTACORP,2.35, First Interim, 16-NOV-22, 06-DEC-22,45,44
2022-11-04 00:00:00, PACK-N-0000, EX-PACK,1.35, First interim Year ending 2022/2023, 16-NOV-22, 06-DEC-22,15.2,13.8
2022-11-08 00:00:00, CARG-N-0000, CARGILLS,3.5, First interim, 17-NOV-22, 08-DEC-22,212.5,210
2022-11-08 00:00:00, DIST-N-0000, DISTILLERIES,0.6, Second Interim, 17-NOV-22, 08-DEC-22,14,13.2
2022-11-08 00:00:00, HHL-N-0000, HEMAS HOLDINGS,0.4, First interim, 17-NOV-22, 08-DEC-22,53.1,52.5
2022-11-09 00:00:00, CTHR-N-0000, C T HOLDINGS,2.45, First interim : FY 2022/2023 , 18-NOV-22, 09-DEC-22,174,170
2022-11-10 00:00:00, WATA-N-0000, WATAWALA,6, First Interim, 21-NOV-22, 12-DEC-22,73.9,64.3
2022-11-11 00:00:00, PINS-N-0000, PEOPLE'S INS,1, First interim Financial year 31st December 2022, 22-NOV-22, 13-DEC-22,18.8,18.8
2022-11-14 00:00:00, CTC-N-0000, CEYLON TOBACCO,9, THIRD INTERIM 2022, 23-NOV-22, 14-DEC-22,580,572.25
2022-11-16 00:00:00, HPL-N-0000, HATTON,0.5, 31st March 2023  SECOND INTERIM, 25-NOV-22, 16-DEC-22,26,27.4
2022-11-21 00:00:00, LION-N-0000, LION  BREWERY,13.6, First interim, 30-NOV-22, 21-DEC-22,511,511
2022-11-22 00:00:00, EXT-N-0000, EXTERMINATORS,0.2, First interim, 01-DEC-22, 22-DEC-22,7.3,7.4
2022-11-22 00:00:00, OFEQ-N-0000, OFFICE EQUIPMENT,10, Interim Dividend, 01-DEC-22, 22-DEC-22,138,138
2022-11-30 00:00:00, JAT-N-0000, JAT HOLDINGS,0.45, First interim, 12-DEC-22, 30-DEC-22,13.5,12.9
2022-12-08 00:00:00, CFIN-N-0000, CENTRAL FINANCE,2.5, First interim - Financial Year Ending 31st March 2023, 19-DEC-22, 27-DEC-22,65.7,64
