Dividend Records - 2013,,,,,,,,
DATE_OF_ANNOUNCEMENT, SECURITY, SHORT_NAME,INTERNAL_REMARKS,EXTERNAL_REMARKS, DATE_OF_EX,DATE_OF_PAYMENT, CUM_PRICE,EX_PRICE
2013-05-30 00:00:00, CWM-N-0000, C.W.MACKIE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.00 PER SHARE, 28-JUN-13, 08-JUL-13,72.9,71.8
2013-05-30 00:00:00, DPL-N-0000, DANKOTUWA PORCEL, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.40 PER SHARE (AMENDED DATES), 12-SEP-13, 20-SEP-13,11.4,11
2013-05-30 00:00:00, LGL-N-0000, LAUGFS GAS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.50 PER SHARE (VOTING & NON VOTING), 10-JUN-13, 19-JUN-13,29.4,27.5
2013-05-30 00:00:00, ODEL-N-0000, ODEL PLC, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.10 PER SHARE, 10-JUN-13, 19-JUN-13,23.8,23.2
2013-05-30 00:00:00, SFIN-N-0000, SINGER FINANCE, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.65 PER SHARE, 10-JUN-13, 19-JUN-13,14.7,14.7
2013-05-30 00:00:00, SUN-N-0000, SUNSHINE HOLDING, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 25-JUL-13, 02-AUG-13,34,33
2013-05-31 00:00:00, CDB-N-0000, CDB, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.75 PER SHARE(VOTING & NON-VOTING), 28-JUN-13, 08-JUL-13,47.5,43.5
2013-05-31 00:00:00, CIND-N-0000, CENTRAL IND., SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 3.00 PER SHARE, 05-AUG-13, 14-AUG-13,69,60.7
2013-05-31 00:00:00, LFIN-N-0000, LB FINANCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 6.50 PER SHARE, 01-JUL-13, 09-JUL-13,127.1,123
2013-05-31 00:00:00, SMOT-N-0000, SATHOSA MOTORS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 5.00 PER SHARE (DATES), 24-JUN-13, 28-JUN-13,230.3,235.5
2013-06-04 00:00:00, EBCR-N-0000, E B CREASY, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 10.00 PER SHARE, 01-JUL-13, 09-JUL-13,1152.9,1055
2013-06-06 00:00:00, HOPL-N-0000, HORANA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.00 PER SHARE, 17-JUN-13, 26-JUN-13,29.5,27.1
2013-06-07 00:00:00, CFIN-N-0000, CENTRAL FINANCE, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.20 PER SHARE, 23-JUL-13, 31-JUL-13,181.4,181.4
2013-06-11 00:00:00, PLC-N-0000, PEOPLES LEASING, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 19-JUL-13, 30-JUL-13,14.6,14.2
