,,,,DIVIDEND ANNOUNCEMENTS 2017 ,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX_PRICE
2017-03-10 00:00:00, SCAP-N-0000, SOFTLOGIC CAP,0.5, Rs. 0.50 per share / Interim Dividend  Financial Year: - 2016/2017 , 21-MAR-17, 30-MAR-17,5.5,5.1
2017-03-10 00:00:00, TRAN-N-0000, TRANS ASIA,2, Rs. 2.00 per share / Interim Dividend  Financial Year: - 2016/2017, 21-MAR-17, 30-MAR-17,77,76
2017-03-10 00:00:00, LFIN-N-0000, LB FINANCE,6, Rs. 6.00 per share / Interim Dividend  Financial Year: - 2016/2017, 21-MAR-17, 30-MAR-17,124.3,119
2017-03-10 00:00:00, COMD-N-0000, COMMERCIAL DEV.,0.5, Rs. 0.50 per share / Final Dividend  Financial Year: - 2016 , 09-MAY-17, 19-MAY-17,73.1,74
2017-03-10 00:00:00, SPEN-N-0000, AITKEN SPENCE,1.25, Rs. 1.25 per share / Interim Dividend  Financial Year: - 2016/2017 , 21-MAR-17, 30-MAR-17,59,59.1
2017-03-13 00:00:00, AMSL-N-0000, ASIRI SURG,0.35, Rs. 0.35 per share / Interim Dividend  Financial Year: - 2016/2017 , 22-MAR-17, 30-MAR-17,10,9.8
2017-03-13 00:00:00, CONN-N-0000, AMAYA LEISURE,2, Rs. 2.00 per share (Not liable to 10% dividend tax) / Interim Dividend  Financial Year: - 2016/2017, 22-MAR-17, 31-MAR-17,63.8,63.8
2017-03-13 00:00:00, AHPL-N-0000, AHOT PROPERTIES,2, Rs. 2.00 per share / Interim Dividend  Financial Year: - 2016/2017 , 22-MAR-17, 31-MAR-17,56.9,55.7
2017-03-13 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,1.5, Rs. 1.50  (Rs. 0.64 - Liable to 10% dividend tax and Rs. 0.86 - Not liable to dividend tax) / Interim Dividend  FY: - 2016/2017 , 22-MAR-17, 31-MAR-17,65.1,62
2017-03-13 00:00:00, DIMO-N-0000, DIMO,24, Rs. 24.00 per share / Interim Dividend  Financial Year: - 2016/2017 , 22-MAR-17, 31-MAR-17,563.7,563.5
2017-03-13 00:00:00, JINS-N-0000, JANASHAKTHI INS.,1, Rs. 1.00 per share / Interim Dividend  Financial Year: - 2016 , 22-MAR-17, 31-MAR-17,16.4,15.3
2017-03-13 00:00:00, ALUM-N-0000, ALUMEX PLC,1, Rs. 1.00 (Rs. 0.40 - Liable 10% dividend tax and Rs. 0.60 - Not liable to tax) / Interim Dividend  Financial Year: - 2016/2017, 22-MAR-17, 30-MAR-17,20,19
2017-03-13 00:00:00, TPL-N-0000, TALAWAKELLE,1, Rs. 1.00 per share (Rs. 0.63 - Liable 10% tax and Rs. 0.37 - Not liable to tax) / Interim Dividend  Financial Year: - 2016/2017 , 22-MAR-17, 31-MAR-17,32.2,32.2
2017-03-14 00:00:00, GEST-N-0000, GESTETNER,10, Rs. 10.00 per share / Second Interim Dividend  Financial Year: - 2016/2017 , 23-MAR-17, 30-MAR-17,120,108
2017-03-14 00:00:00, CHMX-N-0000, CHEMANEX,2, Rs. 2.00 per share / Interim Dividend  Financial Year:- 2016/2017, 23-MAR-17, 31-MAR-17,55.2,55.5
2017-03-14 00:00:00, ALLI-N-0000, ALLIANCE,3.7,  Rs. 3.70 per share / Interim Dividend  Financial Year: - 2016/2017 , 23-MAR-17, 03-APR-17,59.5,54.8
2017-03-15 00:00:00, REXP-N-0000, RICH PIERIS EXP,16, Rs. 16.00 per share / Interim Dividend  Financial Year: - 2016/2017 , 24-MAR-17, 30-MAR-17,228.9,204.5
2017-03-15 00:00:00, ETWO-N-0000, EQUITY TWO PLC,1.4, Rs. 1.40 per share (Subject to 10% tax) / First Interim Dividend  Financial Year: - 2016/2017 , 24-MAR-17, 03-APR-17,55.9,56.5
2017-03-16 00:00:00, KGAL-N-0000, KEGALLE,5, Rs. 5.00 per share / Interim Dividend  Financial Year:- 2016/2017 , 27-MAR-17, 29-MAR-17,58.9,53.9
2017-03-16 00:00:00, NAMU-N-0000, NAMUNUKULA,7, Rs. 7.00 per share / Second Interim Dividend  Financial Year: - 2016/2017 , 27-MAR-17, 30-MAR-17,82.5,75.3
2017-03-17 00:00:00, UML-N-0000, UNITED MOTORS,2.5, Rs. 2.50 per share (Less WHT) / Second Interim Dividend  Financial Year:- 2016/2017 , 28-MAR-17, 31-MAR-17,79,78
2017-03-21 00:00:00, SFCL-N-0000, SENKADAGALA,0.6, Rs. 0.60 per share / Third Interim Dividend  Financial Year: - 2016/2017 , 30-MAR-17, 07-APR-17,90,90
2017-03-22 00:00:00, SIGV-N-0000, SIGIRIYA VILLAGE,4, Rs. 4.00 per share / Interim Dividend  Financial Year: - 2016/2017 , 31-MAR-17, 31-MAR-17,59.5,59.5
2017-03-22 00:00:00, CINV-N-0000, CEYLON INV.,1.75, Rs. 1.75 per share (Not Subject to 10% tax) / First Interim Dividend  Financial Year: - 2016/2017 , 31-MAR-17, 11-APR-17,41.5,40
2017-03-23 00:00:00, AMCL-N-0000, CAPITAL LEASING,1.65, Rs. 1.65 per share / Final Dividend  Financial Year: - 2016 , 31-MAR-17, 31-MAR-17,22.35,22.35
2017-03-28 00:00:00, ASIR-N-0000, ASIRI,0.5, Rs. 0.50 per share (Tax Free) / Interim Dividend  Financial Year:- 2016/2017 , 06-APR-17, 20-APR-17,25.8,25.9
2017-03-28 00:00:00, PINS-N-0000, PEOPLE'S INS,0.25, Rs. 0.25 per share / Final Dividend  Financial Year: - 2016 , 03-JUL-17, 11-JUL-17,21.5,21
2017-03-29 00:00:00, COCR-N-0000, COM.CREDIT,0.5, Rs. 0.50 per share / First Interim Dividend  Financial Year:- 2016/2017 , 07-APR-17, 20-APR-17,43.6,44
2017-03-29 00:00:00, DPL-N-0000, DANKOTUWA PORCEL,0.4, Rs. 0.40 per share / Interim Dividend  Financial Year:- 2016/2017 , 07-APR-17, 20-APR-17,6.5,6.2
2017-03-30 00:00:00, TAFL-N-0000, THREE ACRE FARMS,4, Rs. 4.00 per share / First and Final Dividend  Financial Year:- 2016 , 04-MAY-17, 16-MAY-17,127.9,125
2017-03-30 00:00:00, ASPM-N-0000, SPENCEPLANTATION,3, Rs. 3.00 per share / Interim Dividend  Financial Year:- 2016/2017 , 11-APR-17, 24-APR-17,45.5,45.5
2017-03-30 00:00:00, GRAN-N-0000, GRAIN ELEVATORS,2.5, Rs. 2.50 per share / First and Final Dividend  Financial Year:- 2016 , 04-MAY-17, 16-MAY-17,80.6,78.5
2017-04-03 00:00:00, HAYC-N-0000, HAYCARB,3, Rs. 3.00 per share (Not liable to 10% Dividend Tax) / Interim Dividend  Financial Year:- 2016/2017 , 17-APR-17, 25-APR-17,150,150.1
2017-04-03 00:00:00, SERV-N-0000, KINGSBURY,0.5, Rs. 0.50 per share (Liable to 10% Dividend Tax) / Interim Dividend  Financial Year:- 2016/2017 , 17-APR-17, 26-APR-17,16,16.4
2017-04-06 00:00:00, SLTL-N-0000, SLT,0.89, Rs. 0.89 per share / First and Final Dividend  Financial Year:- 2016 , 25-MAY-17, 02-JUN-17,33.9,33.4
2017-04-19 00:00:00, SDB-N-0000, SANASA DEV. BANK,2.5, Rs. 2.50 per share (Subject to 10% Dividend tax) / Final Dividend  Financial Year:- 2016 , 31-MAY-17, 09-JUN-17,115,112.6
2017-04-21 00:00:00, LLUB-N-0000, CHEVRON,5.5, Rs. 5.50 per share / First Interim Dividend  Financial Year: - 2017 , 03-MAY-17, 16-MAY-17,177.7,172.4
2017-04-24 00:00:00, CTBL-N-0000, CEYLON TEA BRKRS,0.18, Rs. 0.175 per share / Interim Dividend  Financial Year: - 2016/2017 , 04-MAY-17, 17-MAY-17,3.9,3.8
2017-04-26 00:00:00, UCAR-N-0000, UNION CHEMICALS,11, Rs. 11.00 per share / Final Dividend  Financial Year:- 2016 , 02-JUN-17, 09-JUN-17,600,600
2017-04-27 00:00:00, WAPO-N-0000, GUARDIAN CAPITAL,0.25, Rs. 0.25 per share (Not subject to tax) / First and Final Dividend  Financial Year:- 2016/2017 , 05-JUN-17, 14-JUN-17,37,36.8
2017-04-28 00:00:00, BFL-N-0000, BAIRAHA FARMS,4, Rs. 4.00 per share / Second Interim Dividend  Financial Year: - 2016/2017 , 12-MAY-17, 23-MAY-17,172.8,168.8
2017-05-02 00:00:00, LHCL-N-0000, LANKA HOSPITALS,1, Rs. 1.00 per share / Final Dividend  Financial Year:- 2016 , 15-MAY-17, 24-MAY-17,67.5,66.9
2017-05-03 00:00:00, GLAS-N-0000, PIRAMAL GLASS,0.26, Rs. 0.26 per share / First and Final Dividend  Financial Year:- 2016/2017, 03-JUL-17, 11-JUL-17,6.3,6.2
2017-05-09 00:00:00, CTC-N-0000, CEYLON TOBACCO,15, Rs. 15.00 per share (less WHT) / First Interim Dividend  Financial Year: - 2017 , 22-MAY-17, 30-MAY-17,1002.1,1002.1
2017-05-12 00:00:00, GLAS-N-0000, PIRAMAL GLASS,0.26, AMENDED DATES Rate of Dividend:- Rs. 0.26 per share / First and Final Dividend  Financial Year:- 2016/2017 , 27-JUN-17, 05-JUL-17,6.3,6.2
2017-05-12 00:00:00, CCS-N-0000, COLD STORES,8, Rate of Dividend: - Rs. 8.00 per share / Final Dividend  Financial Year: - 2016/2017 , 23-MAY-17, 01-JUN-17,949.8,925.2
2017-05-15 00:00:00, PEG-N-0000, PEGASUS HOTELS,0.5, Rs. 0.50 cents per share (01 cent would be paid out of dividend income received by the company which has already been subjected to tax and 49 cents would be paid out of profits and income of the company which would be subject to a dividend tax of 10%) / First & Final Dividend 2016/2017 , 16-JUN-17, 27-JUN-17,33.9,33.9
2017-05-16 00:00:00, CHL-N-0000, DURDANS,3.6, Rate of Dividend: - Rs. 3.60 per share. Interim Dividend  Financial Year: - 2016/2017 , 25-MAY-17, 05-JUN-17,97,95
2017-05-16 00:00:00, CHL-X-0000, DURDANS,3.6, Rate of Dividend: - Rs. 3.60 per share / Interim Dividend  Financial Year: - 2016/2017 , 25-MAY-17, 05-JUN-17,83,82
2017-05-17 00:00:00, HAYC-N-0000, HAYCARB,3, Rate of Dividend: - Rs. 3.00 per share (Not liable to 10% dividend tax) / Second Interim Dividend  Financial Year: - 2016/2017 , 26-MAY-17, 05-JUN-17,160.1,158
2017-05-17 00:00:00, MORI-X-0000, MORISONS,5, Rate of Dividend: - Rs. 5.00 cents per share (Voting & Non-Voting) / Final Dividend  Financial Year: - 2016/2017 , 27-JUN-17, 04-JUL-17,400,430
2017-05-17 00:00:00, MORI-N-0000, MORISONS,5, Rate of Dividend: - Rs. 5.00 cents per share (Voting & Non-Voting) / Final Dividend  Financial Year: - 2016/2017 , 27-JUN-17, 04-JUL-17,426.3,426.3
2017-05-17 00:00:00, HHL-N-0000, HEMAS HOLDINGS,1.45, Rate of Dividend:- Rs. 1.45 per share / Final Dividend  Financial Year:- 2016/2017 , 03-JUL-17, 11-JUL-17,153.1,154.3
2017-05-17 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,2.5, Rs. 2.50 per share (Not liable to 10% dividend tax) / Interim Dividend  Financial Year: - 2016/2017 , 26-MAY-17, 05-JUN-17,98.1,97
