Dividend Records - 2010,,,,,,
Date of Announcement,Security,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2010-08-20 00:00:00,CTBL-N-0,FIRST & FINAL DIVIDEND OF RS.0.15 PER SHARE ,2010-09-01 00:00:00,2010-09-13 00:00:00,4.2,4.1
2010-08-23 00:00:00,LCEY-N-0,FIRST & FINAL DIVIDEND OF RS.2.25 PER SHARE ,2010-10-06 00:00:00,2010-10-14 00:00:00,258,253.8
2010-08-25 00:00:00,ARPI-N-0,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE ,2010-09-30 00:00:00,2010-10-06 00:00:00,143.3,148.3
2010-08-26 00:00:00,VFIN-N-0,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE ,2010-09-06 00:00:00,2010-09-15 00:00:00,58.3,57.4
2010-08-25 00:00:00,JFIN-N-0,FIRST INTERIM DIVIDEND OF RS.1.50 PER SHARE ,2010-09-03 00:00:00,2010-09-15 00:00:00,236.3,240
2010-07-30 00:00:00,CERA-N-0,RS.1.60 PER SHARE (NET OF TAXES) - FINAL,2010-09-29 00:00:00,2010-10-07 00:00:00,97,97.9
2010-08-25 00:00:00,OFEQ-N-0,FINAL DIVIDEND OF RS.12.50 PER SHARE ,2010-10-01 00:00:00,2010-10-11 00:00:00,80.25,
2010-08-27 00:00:00,SLND-N-0,FIRST & FINAL DIVIDEND OF RS.15.00 PER SHARE ,2010-09-28 00:00:00,2010-10-01 00:00:00,600,600
2010-08-30 00:00:00,BRWN-N-0,INTERIM DIVIDEND OF RS.1.32 PER SHARE ,2010-09-08 00:00:00,2010-09-20 00:00:00,164.4,164.1
2010-08-30 00:00:00,EBCR-N-0,FIRST & FINAL DIVIDEND OF RS.3.00 PER SHARE ,2010-10-01 00:00:00,2010-10-11 00:00:00,1149.5,1170
2010-09-03 00:00:00,ABAN-N-0,FINAL DIVIDEND OF RS. 3.40 PER SHARE,2010-10-08 00:00:00,2010-10-11 00:00:00,253.1,250.7
2010-09-06 00:00:00,SINS-N-0,INTERIM DIVIDEND OF RS. 1.00 PER SHARE,2010-09-16 00:00:00,2010-09-28 00:00:00,244.2,236.6
2010-09-06 00:00:00,ASPH-N-0,FIRST & FINAL DIVIDEND OF RS. 2.50 PER SHARE,2010-09-30 00:00:00,2010-10-08 00:00:00,390,350
2010-09-08 00:00:00,AUTO-N-0,INTERIM DIVIDEND OF RS. 4.00 PER SHARE,2010-09-20 00:00:00,2010-09-29 00:00:00,550,550
2010-09-13 00:00:00,SFL-N-00,FINAL DIVIDEND OF RS. 0.25 PER SHARE,2010-10-13 00:00:00,2010-10-21 00:00:00,73.4,68
2010-09-24 00:00:00,KURU-N-0,INTERIM DIVIDEND OF RS. 1.00 PER SHARE,2010-10-05 00:00:00,2010-10-14 00:00:00,37,36.1
2010-09-30 00:00:00,ETWO-N-0,FIRST INTERIM DIVIDEND OF RS. 0.10 PER SHARE,2010-10-11 00:00:00,2010-10-20 00:00:00,25.9,26
2010-10-15 00:00:00,LLUB-N-0,THIRD INTERIM DIVIDEND OF RS.3.00 PER SHARE ,2010-10-27 00:00:00,2010-11-08 00:00:00,160,158.6
2010-10-27 00:00:00,CFIN-N-0,FIRST INTERIM DIVIDEND OF RS. 2.50 PER SHARE ,2010-11-08 00:00:00,2010-11-18 00:00:00,750.3,711.8
2010-11-01 00:00:00,TILE-N-0,INTERIM DIVIDEND OF RS. 1.00 PER SHARE ,2010-11-11 00:00:00,2010-11-23 00:00:00,101,100
