,,,DIVIDEND ANNOUNCEMENTS 2015,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX  PRICE
2015-05-26 00:00:00,VFIN-N-0000,VALLIBEL FINANCE,First & Final Dividend of Rs. 2.00 per share/Financial Year 2014/2015, 05-JUN-15, 16-JUN-15,58.2,56
2015-05-27 00:00:00,STAF-N-0000,DOLPHIN HOTELS,Interim Dividend of Rs. 1.50 per share/Financial Year 2014/2015, 08-JUN-15, 17-JUN-15,58.5,55.2
2015-05-27 00:00:00,HSIG-N-0000,HOTEL SIGIRIYA,Interim Dividend of Rs. 5.00 per share/Financial Year 2014/2015, 08-JUN-15, 17-JUN-15,94,93.5
2015-05-28 00:00:00,BFL-N-0000,BAIRAHA FARMS,Final Dividend of Rs. 2.50 per share/Financial Year 2014/2015, 09-JUN-15, 18-JUN-15,121,120
2015-05-29 00:00:00,TSML-N-0000,TEA SMALLHOLDER,First & Final Dividend of Rs. 0.50 per share/Financial Year 2014/2015, 10-JUN-15, 19-JUN-15,38,37.1
2015-05-29 00:00:00,JKL-N-0000,JOHN KEELLS,First & Final Dividend of Rs. 3.75 per share/Financial Year 2014/2015, 10-JUN-15, 19-JUN-15,92,90
2015-05-29 00:00:00,AHPL-N-0000,AHOT PROPERTIES,Final Dividend of Rs. 3.00 per share/Financial Year 2014/2015, 10-JUN-15, 19-JUN-15,68,66.5
2015-05-29 00:00:00,TRAN-N-0000,TRANS ASIA,Final Dividend of Rs. 2.00 per share/Financial Year 2014/2015, 10-JUN-15, 19-JUN-15,93,90.7
2015-06-01 00:00:00,SFIN-N-0000,SINGER FINANCE,Final Dividend of Rs. 1.25 per share/Financial Year 2014/2015, 11-JUN-15, 19-JUN-15,23.7,22.3
2015-06-08 00:00:00,AEL-N-0000,ACCESS ENG SL,Final Dividend of Rs. 0.25 per share/Financial Year 2014/2015, 17-JUN-15, 26-JUN-15,23.2,22.8
2015-06-08 00:00:00,LHCL-N-0000,LANKA HOSPITALS,Final Dividend of Rs. 0.50 per share/Financial Year 2014, 17-JUN-15, 26-JUN-15,45.5,44.5
2015-06-25 00:00:00,LMF-N-0000,LANKA MILK FOODS,First & Final Dividend of Rs. 1.25 per share/Financial Year 2014/2015, 11-SEP-15, 14-SEP-15,150,154.9
2015-07-02 00:00:00,SFCL-N-0000,SENKADAGALA FINANCE ,Final Dividend of Rs. 0.80 per share/Financial Year 2014/2015, 27-AUG-15, 04-SEP-15,60, 
2015-07-14 00:00:00,TKYO-N-0000 &  TKYO-X-0000,TOKYO CEMENT ,First & Final Dividend of Rs. 1.19 per share(Voting & Non Voting)/Financial Year 2014/2015, 28-AUG-15, 07-SEP-15,55,54.1
