"Market Capitalization of Listed Companies as at December 30th, 2016",,,,
COMPANY CODE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
BALA,BALANGODA,12.2,23636363,288363628.6
HUNA,HUNAS FALLS,49.7,5625000,279562500
TWOD,TOUCHWOOD,2.6,106905600,277954560
ACME,ACME PRINTING,6.2,41161913,255203860.6
LDEV,LANKEM DEVELOPMENT,3.9,60000000,234000000
ASPH,INDUSTRIAL ASPH.,308.1,666562,205367752.2
IDL,SERENDIB ENG.GRP,6.3,32383250,204014475
MSL,MERCANTILE SHIPPING,70.1,2844990,199433799
YORK,YORK ARCADE,14.3,12000000,171600000
MIRA,MIRAMAR BEACH,61.9,2750000,170225000
CIFL,CENTRAL INVESTMENTS & FINANCE,1.4,83426733,116797426.2
CHOU,CITY HOUSING,7.6,13379850,101686860
HUEJ,HUEJAY INTERNATIONAL,40,1800000,72000000
RGEM,RADIANT GEMS,27,2400000,64800000
PARA,PARAGON,60,1000280,60016800
OFEQ,OFFICE EQUIPMENT,68,833560,56682080
VANI,VANIK INCORP PLC,0.8,65481650,52385320
PCP,PC PHARMA,0.4,101000020,40400008
KZOO,KALAMAZOO,804.8,50000,40240000
PCH,PC HOUSE,0.1,343400001,34340000.1
CPRT,CEYLON PRINTERS,55,600170,33009350
