Dividend Records - 2011,,,,,,,
Date of Announcement,Security,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price,
2011-06-07 00:00:00,HPWR-N-0000,INTERIM DIVIDEND OF RS.2.00 PER SHARE,2011-06-17 00:00:00,2011-06-28 00:00:00,36.7,34.6,
2011-06-08 00:00:00,LFIN-N-0000,FIRST & FINAL DIVIDEND OF RS. 3.50 PER SHARE,2011-07-01 00:00:00,2011-07-07 00:00:00,176.9,175.8,
2011-06-09 00:00:00,CDB-N-0000,FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE,2011-07-01 00:00:00,2011-07-11 00:00:00,81,80,
2011-06-14 00:00:00,SMOT-N-0000,FINAL DIVIDEND OF RS.5.00 PER SHARE,2011-08-29 00:00:00,2011-09-07 00:00:00,284.9,285,
2011-06-20 00:00:00,CIND-N-0000,FINAL DIVIDEND OF RS. 2.50 PER SHARE,2011-07-27 00:00:00,2011-08-04 00:00:00,84,83.7,
2011-06-23 00:00:00,AAIC-N-0000,FIRST & FINAL DIVIDEND OF RS.27.50 PER SHARE,2011-08-01 00:00:00,2011-08-05 00:00:00,132,125,
2011-06-23 00:00:00,ALLI-N-0000,FIRST & FINAL DIVIDEND OF RS.27.50 PER SHARE,2011-08-01 00:00:00,2011-08-05 00:00:00,995.5,990,
2011-06-23 00:00:00,LLUB-N-0000,FIRST INTERIM DIVIDEND OF RS. 2.50 PER SHARE,2011-07-04 00:00:00,2011-07-13 00:00:00,157.8,154.1,
2011-06-24 00:00:00,BFL-N-0000,FINAL DIVIDEND OF RS. 2.00 PER SHARE,2011-07-05 00:00:00,2011-07-15 00:00:00,322.6,320,
2011-06-24 00:00:00,CFIN-N-0000,FINAL DIVIDEND OF RS.5.00 PER SHARE,2011-08-22 00:00:00,2011-08-30 00:00:00,1360.5,256.9,
2011-06-24 00:00:00,SOY-N-0000,FIRST & FINAL DIVIDEND OF RS. 2.50 PER SHARE,2011-07-28 00:00:00,2011-08-05 00:00:00,324,325.3,
2011-06-28 00:00:00,NHL-N-0000,INTERIM DIVIDEND OF RS.0.05 PER SHARE,2011-07-07 00:00:00,2011-07-18 00:00:00,4,3.9,
2011-07-05 00:00:00,HPFL-N-0000,FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE,2011-08-22 00:00:00,2011-08-30 00:00:00,15.3,14.7,
2011-07-08 00:00:00,ARPI-N-0000,FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE,2011-08-09 00:00:00,2011-08-15 00:00:00,131,129.2,
2011-07-08 00:00:00,CFI-N-0000,FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE,2011-08-23 00:00:00,2011-09-01 00:00:00,301.5,282,
2011-07-08 00:00:00,CIT-N-0000,FIRST & FINAL DIVIDEND OF RS.1.50 PER SHARE,2011-08-23 00:00:00,2011-09-01 00:00:00,318,314.8,
2011-07-11 00:00:00,ONAL-N-0000,FINAL DIVIDEND OF RS.1.35 PER SHARE,2011-07-21 00:00:00,2011-07-28 00:00:00,110.8,109.5,
2011-07-12 00:00:00,LVEN-N-0000,FINAL DIVIDEND OF RS.1.50 PER SHARE,2011-09-16 00:00:00,2011-09-26 00:00:00,43.7,42.2,
2011-07-13 00:00:00,RPBH-N-0000,INTERIM DIVIDEND OF RS.0.60 PER SHARE,2011-07-25 00:00:00,2011-08-03 00:00:00,60.4,59,
2011-07-18 00:00:00,ASHO-N-0000,FIRST & FINAL DIVIDEND OF RS.30.00 PER SHARE (AMENDED DATES),2011-09-21 00:00:00,2011-09-29 00:00:00,3620,3499,
2011-07-18 00:00:00,HOPL-N-0000,FINAL DIVIDEND OF RS.4.00 PER SHARE,2011-08-01 00:00:00,2011-08-09 00:00:00,67.3,62.9,
2011-07-22 00:00:00,TYRE-N-0000,INTERIM DIVIDEND OF RS.1.40 PER SHARE (GROSS),2011-08-02 00:00:00,2011-08-11 00:00:00,43.6,42.5,
2011-07-25 00:00:00,BUKI-N-0000,FIRST INTERIM DIVIDEND OF RS.2.50 PER SHARE,2011-08-03 00:00:00,2011-08-11 00:00:00,1090,1050,
2011-07-26 00:00:00,CTBL-N-0000,FIRST & FINAL DIVIDEND OF RS. 0.20 PER SHARE,2011-08-04 00:00:00,2011-08-15 00:00:00,4.9,4.7,
2011-07-27 00:00:00,CFVF-N-0000,INTERIM DIVIDEND OF RS.2.00 PER SHARE,2011-08-05 00:00:00,2011-08-15 00:00:00,23,19.8,
2011-07-27 00:00:00,KCAB-N-0000,INTERIM DIVIDEND OF RS. 0.50 PER SHARE,2011-08-05 00:00:00,2011-08-15 00:00:00,104,90.1,
2011-07-27 00:00:00,VFIN-N-0000,FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE,2011-08-05 00:00:00,2011-08-15 00:00:00,41.6,40,
2011-07-28 00:00:00,CTEA-N-0000,FINAL DIVIDEND OF RS.22.50 PER SHARE,2011-09-12 00:00:00,2011-09-16 00:00:00,854,849.5,
2011-07-29 00:00:00,CTC-N-0000,SECOND INTERIM DIVIDEND OF RS.9.70 PER SHARE,2011-08-08 00:00:00,2011-08-16 00:00:00,385,380,
2011-07-29 00:00:00,SINI-N-0000,INTERIM DIVIDEND OF RS.6.75 PER SHARE,2011-08-09 00:00:00,2011-08-18 00:00:00,247.1,231.8,
2011-07-29 00:00:00,SINS-N-0000,INTERIM DIVIDEND OF RS.1.50 PER SHARE,2011-08-09 00:00:00,2011-08-18 00:00:00,118.9,116.4,
2011-08-03 00:00:00,EAST-N-0000,FIRST INTERIM DIVIDEND OF RS. 0.50 PER SHARE,2011-08-12 00:00:00,2011-08-22 00:00:00,38,41.8,
2011-08-03 00:00:00,TKYO-N-0000,(VOTING & NON-VOTING) FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE,2011-09-05 00:00:00,2011-09-13 00:00:00,53.5,52,
2011-08-05 00:00:00,DIST-N-0000,FINAL DIVIDEND OF RS. 2.50 PER SHARE,2011-09-13 00:00:00,2011-09-21 00:00:00,175.1,175,
2011-08-05 00:00:00,EXPO-N-0000,INTERIM DIVIDEND OF RS. 0.12 PER SHARE,2011-08-16 00:00:00,2011-08-25 00:00:00,13,13.5,
2011-08-05 00:00:00,SLND-N-0000,FIRST & FINAL DIVIDEND OF RS. 15.00 PER SHARE,2011-09-12 00:00:00,2011-09-16 00:00:00,2999,1500,
2011-08-08 00:00:00,COLO-N-0000,FIRST & FINAL DIVIDEND OF RS.1.50 PER SHARE,2011-09-26 00:00:00,2011-10-04 00:00:00,487,478.8,
2011-08-08 00:00:00,HARI-N-0000,FINAL DIVIDEND OF RS.15.00 PER SHARE,2011-09-26 00:00:00,2011-10-04 00:00:00,1600,2400,
2011-08-10 00:00:00,ELPL-N-0000,FIRST & FINAL DIVIDEND OF RS.0.36 PER SHARE,2011-09-27 00:00:00,2011-10-05 00:00:00,25.1,26,
2011-08-11 00:00:00,MORI-N-0000,SECOND FINAL DIVIDEND OF RS.20.00 PER SHARE (VOTING & NON-VOTING)TAX FREE,2011-09-26 00:00:00,2011-09-30 00:00:00,3300,3400,
