,,,,DIVIDEND ANNOUNCEMENTS 2018 ,,,,
2018-05-24 00:00:00, SIL-N-0000, SAMSON INTERNAT.,1.25, Rs.1.25 per share / Final Dividend  Financial Year: - 2017/2018 , 05-JUN-18, 14-JUN-18,88.4,88.4
2018-05-24 00:00:00, TSML-N-0000, TEA SMALLHOLDER,2, Rs.2.00 per share / First and Final Dividend  Financial Year: - 2017/2018 , 05-JUN-18, 14-JUN-18,34.3,34
2018-05-24 00:00:00, JKL-N-0000, JOHN KEELLS,2.3, Rs.2.30 per share / First & Final Dividend  Financial Year: - 2017/2018 , 05-JUN-18, 14-JUN-18,57,56.5
2018-05-24 00:00:00, AHPL-N-0000, AHOT PROPERTIES,0.5, Rs.0.50 per share / Final Dividend  Financial Year: - 2017/2018 , 05-JUN-18, 14-JUN-18,49.6,49.5
2018-05-25 00:00:00, JKH-N-0000, JKH,2, Rs. 2.00 per share / Final Dividend  Financial Year: - 2017/2018 , 06-JUN-18, 18-JUN-18,159,158
2018-05-25 00:00:00, CCS-N-0000, COLD STORES,8, Rs. 8.00 per share / Final Dividend  Financial Year: - 2017/2018 , 06-JUN-18, 18-JUN-18,985,985
2018-05-25 00:00:00, HHL-N-0000, HEMAS HOLDINGS,1.45, Rs. 1.45 per share / Final Dividend  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,113.1,112
2018-05-25 00:00:00, RHTL-N-0000, FORTRESS RESORTS,1,Rs. 1.00 per share (Tax Free)/ First and Final Dividend  Financial Year:- 2017/2018 , 29-JUN-18, 09-JUL-18,11,9.8
2018-05-25 00:00:00, RCL-N-0000, ROYAL CERAMIC,2, Rs. 2.00 per share / Final Dividend  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,93,92
2018-05-25 00:00:00, CFIN-N-0000, CENTRAL FINANCE,0.6, Rs. 0.60 per share / Final Dividend  Financial Year: - 2017/2018 , 02-JUL-18, 05-JUL-18,97.6,97
2018-05-25 00:00:00, CWM-N-0000, C.W.MACKIE,3.5, Rs.3.50 per share / First & Final Dividend  Financial Year: - 2017/2018 , 29-JUN-18, 09-JUL-18,47,46.8
2018-05-28 00:00:00, SUN-N-0000, SUNSHINE HOLDING,1, Rs. 1.00 per share / Final Dividend  Financial Year: - 2017/2018 , 29-JUN-18, 09-JUL-18,55,54.54
2018-05-28 00:00:00, WATA-N-0000, WATAWALA,0.25, Rs. 0.25 per share / Final Dividend  Financial Year: - 2017/2018 , 29-JUN-18, 09-JUL-18,25.2,25.2
2018-05-28 00:00:00, CHMX-N-0000, CHEMANEX,1, Rs. 1.00 per share / Final Dividend  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,52.1,52.1
2018-05-28 00:00:00, HPL-N-0000, HATTON,0.25, Rs. 0.25 per share / Final Dividend  Financial Year: - 2017/2018 , 29-JUN-18, 09-JUL-18,7.5,7.7
2018-05-30 00:00:00, ASPM-N-0000, AITKEN SPEN.PLANT.,3, Rs. 3.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 08-JUN-18, 20-JUN-18,45.5,45.5
2018-05-31 00:00:00, ASPH-N-0000, INDUSTRIAL ASPH.,3, Rs. 3.00 per share / Interim Dividend (Subject to tax)  Financial Year: - 2017/2018 , 11-JUN-18, 21-JUN-18,344.7,344.7
2018-06-01 00:00:00, PLC-N-0000, PEOPLES LEASING,0.5, Rs. 0.50 per share / Final Dividend  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,15.3,15
2018-06-04 00:00:00, LFIN-N-0000, LB FINANCE,4, Rs. 4.00 per share / Final Dividend  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,120.3,118
2018-06-04 00:00:00, ALLI-N-0000, ALLIANCE,2.25, Rs. 2.25 per share / Final Dividend  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,68,67.4
2018-06-05 00:00:00, SFCL-N-0000, SENKADAGALA,0.95, Rs. 0.95 per share / Final Dividend  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,90,90
2018-06-06 00:00:00, CDB-X-0000, CDB,5, Rs. 5.00 per share / First & Final Dividend (Voting and Non-Voting)  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,77.1,71.1
2018-06-06 00:00:00, CDB-N-0000, CDB,5, Rs. 5.00 per share / First & Final Dividend (Voting and Non-Voting)  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,85.1,80.9
2018-06-06 00:00:00, AGST-N-0000, AGSTAR PLC,0.1, Rs. 0.10 per share / Final Dividend (Voting and Non-Voting)  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,3.8,3.5
2018-06-06 00:00:00, AGST-X-0000, AGSTAR PLC,0.1, Rs. 0.10 per share / Final Dividend (Voting and Non-Voting)  Financial Year: - 2017/2018 , 02-JUL-18, 10-JUL-18,5,5
2018-06-12 00:00:00, HOPL-N-0000, HORANA,0.5, Rs. 0.50 per share /Interim Dividend  Financial Year: - 2018/2019 , 22-JUN-18, 04-JUL-18,22.2,21.3
2018-06-25 00:00:00, ABL-N-0000, AMANA BANK,0.07, Rs. 0.07 per share /Interim Dividend  Financial Year: - 2018, 06-JUL-18, 16-JUL-18,3.3,3.3
2018-06-26 00:00:00, COCR-N-0000, COM.CREDIT,0.75, Rs. 0.75 per share /First & Final Dividend  Financial Year: - 2017/2018 , 14-AUG-18, 23-AUG-18,30.1,30.1
2018-06-26 00:00:00, KCAB-N-0000, KELANI CABLES,3.5, Rs. 3.50 per share /Interim Dividend  Financial Year: - 2017/2018 , 06-JUL-18, 17-JUL-18,81,80.4
2018-06-29 00:00:00, NHL-N-0000, NAWALOKA,0.05, Rs. 0.05 per share /Interim Dividend  Financial Year: - 2018/2019 , 10-JUL-18, 19-JUL-18,4.5,4.4
2018-06-29 00:00:00, LMF-N-0000, LMF,2.5, Rs. 2.50 per share /First & Final Dividend  Financial Year: - 2017/2018 , 13-SEP-18, 21-SEP-18,152.2,152.2
2018-07-02 00:00:00, CIND-N-0000, CENTRAL IND.,2, Rs. 2.00 per share /Final Dividend  Financial Year: - 2017/2018 , 26-JUL-18, 06-AUG-18,30.6,30.1
2018-07-03 00:00:00, ACL-N-0000, ACL,1.5, Rs. 1.50 per share /Interim Dividend  Financial Year: - 2018/2019 , 12-JUL-18, 23-JUL-18,40.6,39.3
2018-07-05 00:00:00, ONAL-N-0000, ON'ALLY,2.3, Rs. 2.30 per share /Final Dividend  Financial Year: - 2017/2018 , 16-JUL-18, 25-JUL-18,90,90
2018-07-11 00:00:00, EBCR-N-0000, E B CREASY,36,Rs. 36.00 per share /First & Final Dividend  Financial Year: - 2017/2018 , 08-AUG-18, 16-AUG-18,1396.4,1396.4
2018-07-12 00:00:00, GREG-N-0000, AMBEON HOLDINGS,1.25, - Rs. 1.25 per share /Interim Dividend  Financial Year: - 2017/2018 , 23-JUL-18, 02-AUG-18,11.1,9.8
2018-07-12 00:00:00, TYRE-N-0000, KELANI TYRES,2.5, Rate of Dividend: - Rs. 2.50 per share /Interim Dividend  Financial Year: - 2018/2019 , 23-JUL-18, 02-AUG-18,40.4,39.4
2018-07-13 00:00:00, APLA-N-0000, ACL PLASTICS,6, Rate of Dividend: - Rs. 6.00 per share /Interim Dividend  Financial Year: - 2017/2018 , 24-JUL-18, 02-AUG-18,102,96.5
2018-07-17 00:00:00, TJL-N-0000, TEEJAY LANKA,0.9, Rs. 0.90 per share /Final Dividend  Financial Year: - 2017/2018  , 17-AUG-18, 28-AUG-18,31.9,30.8
2018-07-18 00:00:00, RWSL-N-0000, RAIGAM SALTERNS,0.1, Rs. 0.10 per share /Final Dividend  Financial Year: - 2017/2018  , 31-AUG-18, 10-SEP-18,2.2,2.1
2018-07-19 00:00:00, ASHO-N-0000, LANKA ASHOK,35,Rs. 35.00 per share / First and Final Dividend  Financial Year: - 2017/2018 , 13-AUG-18, 21-AUG-18,927,927
2018-07-24 00:00:00, BRR-N-0000, BANSEI RESORTS,0.1,Rs. 0.10 per share /First and Final Dividend  Financial Year: - 2017/2018  , 28-AUG-18, 05-SEP-18,4.9,5.4
2018-07-25 00:00:00, VPEL-N-0000, VALLIBEL,0.3,Rs. 0.30 per share /Interim Dividend  Financial Year: - 2018/2019  , 07-AUG-18, 15-AUG-18,6.7,6.7
2018-07-26 00:00:00, BPPL-N-0000, BPPL HOLDINGS,0.18,Rs. 0.18 per share /Interim Dividend  Financial Year: - 2018/2019  , 07-AUG-18, 16-AUG-18,12,12
2018-07-31 00:00:00, HARI-N-0000, HARISCHANDRA,25, Rs. 25.00 per share /Final Dividend  Financial Year: - 2017/2018  Shareholder Approval: - Required  AGM: - 22.Sep.2018  03.Oct.2018, 25-SEP-18, 03-OCT-18,1434.6,1434.6
2018-07-31 00:00:00, SHAW-N-0000, LEE HEDGES,1, Rs. 1.00 per share /Final Dividend  Financial Year: - 2017/2018  Shareholder Approval: - Required  AGM: - 27.Sep.2018  08.Oct.2018, 28-SEP-18, 08-OCT-18,70,70
2018-08-02 00:00:00, CONN-N-0000, AMAYA LEISURE,1,Rs. 1.00 per share /Interim Dividend  Financial Year: - 2018/2019  , 13-AUG-18, 21-AUG-18,44.5,42
2018-08-02 00:00:00, ABAN-N-0000, ABANS,2,Rs. 2.00 per share /Final Dividend  Financial Year: - 2017/2018  Shareholder Approval: - Required  AGM: - 20.Sep.2018  02.Oct.2018, 21-SEP-18, 02-OCT-18,71,71
2018-08-07 00:00:00, SLND-N-0000, SERENDIB LAND,10,  Rs. 10.00 per share /First & Final Dividend  Financial Year: - 2017/2018 , 27-SEP-18, 05-OCT-18,1481.7,1481.7
2018-08-08 00:00:00, CTC-N-0000, CEYLON TOBACCO,19, Rs. 19.00 per share /2nd Interim Dividend (Less withholding tax)  Financial Year: - 2018  , 17-AUG-18, 29-AUG-18,1280.3,1251.9
2018-08-09 00:00:00, TAP-N-0000, AMBEON CAPITAL,0.36, Rs. 0.36 per share /Interim Dividend  Financial Year: - 2018/2019 , 20-AUG-18, 29-AUG-18,4.8,4.5
2018-08-10 00:00:00, SOY-N-0000, CONVENIENCE FOOD,5, Rs. 5.00 per share / Final Dividend  Financial Year:- 2017/2018 (dates), 20-SEP-18, 27-SEP-18,502.1,502.1
2018-08-13 00:00:00, LLUB-N-0000, CHEVRON,2.25, Rate of Dividend: - Rs. 2.25 per share / Second Interim Dividend  Financial Year: - 2018 , 23-AUG-18, 03-SEP-18,88.8,85.6
2018-08-14 00:00:00, KZOO-N-0000, RENUKA CAPITAL,0.13,Rs. 0.13 per share / Interim Dividend  Financial Year: - 2017/2018 , 24-AUG-18, 04-SEP-18,3.9,3.9
2018-08-14 00:00:00, LVEN-N-0000, LANKA VENTURES,2.75,Rs. 2.75 per share / FInal Dividend  Financial Year: - 2017/2018 , 01-OCT-18, 09-OCT-18,41,38.2
2018-08-15 00:00:00, LALU-N-0000, LANKA ALUMINIUM,2, Rs. 2.00 per share / FInal Dividend  Financial Year: - 2017/2018 , 17-SEP-18, 26-SEP-18,60.6,60.6
2018-08-17 00:00:00, RCH-N-0000, RENUKA HOTELS,1, Rs. 1.00 per share / First & Final Dividend  Financial Year:- 2017/2018 , 19-SEP-18, 28-SEP-18,45,45
2018-08-17 00:00:00, RPBH-N-0000, ROYAL PALMS,1,Rs. 1.00 per share / First & Final Dividend  Financial Year:- 2017/2018 , 29-AUG-18, 07-SEP-18,17.5,17.5
2018-08-17 00:00:00, RENU-N-0000, RENUKA CITY HOT.,6, Rate of Dividend:- Rs. 6.00 per share / First & Final Dividend  Financial Year:- 2017/2018 , 19-SEP-18, 28-SEP-18,231,231
2018-08-17 00:00:00, CABO-N-0000, CARGO BOAT,1.6, Rate of Dividend:- Rs. 1.60 per share / First & Final Dividend  Financial Year:- 2017/2018 , 19-SEP-18, 28-SEP-18,72,72
2018-08-21 00:00:00, DIST-N-0000, DISTILLERIES,0.67, Rs. 0.67 per share / First & Final Dividend  Financial Year:- 2017/2018 , 01-OCT-18, 08-OCT-18,16.7,16.4
2018-08-23 00:00:00, SLND-N-0000, SERENDIB LAND,10, (AMENDED DATES) Rs. 10.00 per share /First & Final Dividend  Financial Year: - 2017/2018 , 01-OCT-18, 09-OCT-18,1481.7,1481.7
2018-08-23 00:00:00, COLO-N-0000, C M HOLDINGS,2, Rs. 2.00 per share /First & Final Dividend  Financial Year: - 2017/2018 , 01-OCT-18, 09-OCT-18,49.3,49.3
2018-08-23 00:00:00, TANG-N-0000, TANGERINE,0.6, Rs. 0.60 per share / First and Final Dividend  Financial Year:- 2017/2018 , 03-SEP-18, 12-SEP-18,39,38.8
2018-08-24 00:00:00, CFLB-N-0000, FORT LAND,0.15, Rate of Dividend: - Rs. 0.15 per share / First & Final Dividend  Financial Year: - 2017/2018 , 01-OCT-18, 09-OCT-18,14.7,14.7
2018-08-28 00:00:00, ASPH-N-0000, INDUSTRIAL ASPH.,1.5, Rs. 1.50 per share / Final Dividend  Financial Year: - 2017/2018 , 19-SEP-18, 28-SEP-18,373.8,373.8
2018-08-28 00:00:00, SHL-N-0000, SOFTLOGIC,0.5, Rate of Dividend: - Rs. 0.50 per share (Tax Free) / Final Dividend  Financial Year: - 2017/2018 , 06-SEP-18, 17-SEP-18,21.7,20.8
2018-08-28 00:00:00, KHC-N-0000, KANDY HOTELS,0.1, Rs. 0.10 per share / Final Dividend  Financial Year: - 2017/2018 , 27-SEP-18, 05-OCT-18,5,5
2018-08-30 00:00:00, SWAD-N-0000, SWADESHI,1, DATES AMENDED  Rs. 1.00 per share / Final Dividend  Financial Year: - 2017/2018 , 25-SEP-18, 03-OCT-18,14991.1,14991.1
2018-08-31 00:00:00, AUTO-N-0000, AUTODROME,0.5, Rs. 0.50 per share / First & Final Dividend  Financial Year: - 2017/2018 , 01-OCT-18, 09-OCT-18,88,88
2018-09-03 00:00:00, HUNT-N-0000, HUNTERS,2.25, Rs. 2.25 per share / Final Dividend  Financial Year: - 2017/2018 , 01-OCT-18, 05-OCT-18,453.8,453.8
2018-09-05 00:00:00, TFIL-N-0000, TRADE FINANCE,1, Rs. 1.00 per share / Final Dividend  Financial Year: - 2017/2018 , 01-OCT-18, 09-OCT-18,59.9,59.9
2018-09-10 00:00:00, LPRT-N-0000, LAKE HOUSE PRIN.,1.5, Rs. 10.00 per share /First & Final Dividend  Financial Year: - 2017/2018 , 01-OCT-18, 09-OCT-18,147,147
2018-10-04 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,1.5, Rs. 1.50 per share /Interim Dividend (Liable to 14% Dividend Tax)  Financial Year: - 2018/2019 , 15-OCT-18, 22-OCT-18,82,80
2018-10-08 00:00:00, UCAR-N-0000, UNION CHEMICALS,7,  Rs. 7.00 per share / First Interim Dividend  Financial Year: - 2018 , 17-OCT-18, 29-OCT-18,400,400
2018-10-08 00:00:00, SFCL-N-0000, SENKADAGALA,0.4, Rs. 0.40 per share / Interim Dividend  Financial Year: - 2018/2019 , 17-OCT-18, 29-OCT-18,90, 
2018-10-08 00:00:00, RICH-N-0000, RICHARD PIERIS,0.6, Rs. 0.60 per share / Interim Dividend  Financial Year: - 2018/2019 , 17-OCT-18, 26-OCT-18,10.6,10.2
2018-10-29 00:00:00, LLUB-N-0000, CHEVRON,2, Rs. 2.00 per share / Third Interim Dividend  Financial Year: - 2018 , 08-NOV-18, 19-NOV-18,71.8,69.9
2018-10-29 00:00:00, JKH-N-0000, JKH,2, Rs. 2.00 per share / Interim Dividend  Financial Year: - 2018/2019 , 08-NOV-18, 19-NOV-18,145,142.5
2018-10-30 00:00:00, COMB-X-0000, COMMERCIAL BANK,1.5, Rs. 1.50 per share (Voting & Non-Voting) / First Interim Dividend  Financial Year: - 2018 , 09-NOV-18, 21-NOV-18,95.8,95.1
2018-10-30 00:00:00, COMB-N-0000, COMMERCIAL BANK,1.5, Rs. 1.50 per share (Voting & Non-Voting) / First Interim Dividend  Financial Year: - 2018 , 09-NOV-18, 21-NOV-18,115.9,115.7
2018-11-02 00:00:00, LVEF-N-0000, LVL ENERGY,0.34, Interim Dividend  Financial Year: - 2018/2019 , 14-NOV-18, 26-NOV-18,8.2,8.1
2018-11-05 00:00:00, CARG-N-0000, CARGILLS,1.9, Rs. 1.90 per share / Interim Dividend  Financial Year: - 2018/2019  Shareholder Approval: - Not Required, 15-NOV-18, 28-NOV-18,200,200
2018-11-05 00:00:00, VLL-N-0000, VIDULLANKA,0.15,Interim 2018/2019, 15-NOV-18, 27-NOV-18,4.8,4.9
2018-11-07 00:00:00, CTHR-N-0000, C T HOLDINGS,1.8, Rs. 1.80 per share / Interim Dividend  Financial Year: - 2018/2019 , 16-NOV-18, 29-NOV-18,176.8,176.8
2018-11-07 00:00:00, CTLD-N-0000, C T LAND,1, Rs. 1.00 per share / Interim Dividend  Financial Year: - 2018/2019  Shareholder Approval: - Not Required , 16-NOV-18, 29-NOV-18,29.1,29.1
2018-11-09 00:00:00, CTC-N-0000, CEYLON TOBACCO,19, Rs. 19.00 per share /Third Interim Dividend (Less withholding tax)  Financial Year: - 2018, 21-NOV-18, 29-NOV-18,1403,1400.2
2018-11-13 00:00:00, HHL-N-0000, HEMAS HOLDINGS,0.4, Rs. 0.40 per share / Interim Dividend  Financial Year: - 2018/2019 , 26-NOV-18, 05-DEC-18,88,88
2018-11-14 00:00:00, BFL-N-0000, BAIRAHA FARMS,4, Rs. 4.00 per share / Interim Dividend  Financial Year: - 2018/2019  Shareholder Approval: - Not Required, 27-NOV-18, 06-DEC-18,127.4,126.3
2018-11-15 00:00:00, ONAL-N-0000, ON'ALLY,1.2, Rs. 1.20 per share / Interim Dividend  Financial Year: - 2018/2019  Shareholder Approval: - Not Required , 28-NOV-18, 07-DEC-18,100,92.8
2018-11-15 00:00:00, COMD-N-0000, COMMERCIAL DEV.,2, Rs. 2.00 per share / Interim Dividend  Financial Year: - 2018  Shareholder Approval: - Not Required , 28-NOV-18, 07-DEC-18,69.5,75
2018-11-19 00:00:00, RFL-N-0000, RAMBODA FALLS,0.5,Rs. 0.50 per share / Interim Dividend  Financial Year: - 2018/2019 , 30-NOV-18, 11-DEC-18,19.6,20.4
2018-11-26 00:00:00, LHCL-N-0000, LANKA HOSPITALS,1,Rs. 1.00 per share / Interim Dividend  Financial Year: - 2018 , 05-DEC-18, 14-DEC-18,41.2,40.6
2018-11-26 00:00:00, HPWR-N-0000, RESUS ENERGY,1.5,Rs. 1.50 per share / Interim Dividend  Financial Year: - 2018/2019 , 05-DEC-18, 13-DEC-18,23.6,22.6
2018-11-28 00:00:00, OFEQ-N-0000, OFFICE EQUIPMENT,1.5,Rs. 1.50 per share / Final Dividend  Financial Year: - 2017/2018 , 13-DEC-18, 21-DEC-18,89.9,89.9
2018-11-29 00:00:00, HNB-X-0000, HNB,1.5, Interim Dividend  Financial Year - 2018 , 10-DEC-18, 19-DEC-18,168.5,168.5
2018-11-29 00:00:00, HNB-N-0000, HNB,1.5, Interim Dividend  Financial Year - 2018 , 10-DEC-18, 19-DEC-18,219.3,216.3
2018-11-30 00:00:00, AEL-N-0000, ACCESS ENG SL,0.25, Interim Dividend  Financial Year: - 2018/2019, 11-DEC-18, 20-DEC-18,15.8,15.6
