,,,,DIVIDEND ANNOUNCEMENTS 2016,,,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX_PRICE,,
2016-05-24 00:00:00, LFIN-N-0000, LB FINANCE,7.5, First & Final 2015/2016, 01-JUL-16, 12-JUL-16,128.3,119.3,,
2016-05-24 00:00:00, JKH-N-0000, JOHN KEELLS HOLDINGS,1.5, Final 2015/2016, 02-JUN-16, 13-JUN-16,155.9,156,,
2016-05-24 00:00:00, HAYL-N-0000, HAYLEYS,6.5, First & Final 2015/2016, 30-JUN-16, 11-JUL-16,270.1,268,,
2016-05-25 00:00:00, CHMX-N-0000, CHEMANEX,1, Final Dividend FY 2015/2016, 01-JUL-16, 12-JUL-16,65.7,60,,
2016-05-25 00:00:00, TRAN-N-0000, TRANS ASIA,1, First &Final 2015/2016, 03-JUN-16, 14-JUN-16,93,93,,
2016-05-25 00:00:00, AEL-N-0000, ACCESS ENG SL,0.5, Final 2015/2016, 03-JUN-16, 14-JUN-16,23.5,23.1,,
2016-05-25 00:00:00, CIC-X-0000, CIC,2, Final 2015/2016, 01-JUL-16, 12-JUL-16,75,71.6,,
2016-05-25 00:00:00, CIC-N-0000, CIC,2, Final 2015/2016, 01-JUL-16, 12-JUL-16,97.9,94.5,,
2016-05-25 00:00:00, WATA-N-0000, WATAWALA PLANTATIONS,0.75, Final 2015/2016, 01-JUL-16, 12-JUL-16,20.1,19.6,,
2016-05-26 00:00:00, CIT-N-0000, COLOMB INVESTMENT TRUST,1.2, First & Final 2015/2016, 30-JUN-16, 11-JUL-16,100,100,,
2016-05-26 00:00:00, DIMO-N-0000, DIMO,27, Final 2015/2016, 06-JUN-16, 10-JUN-16,750,749,,
2016-05-26 00:00:00, HHL-N-0000, HEMAS HOLDINGS,1, Final 2015/2016, 01-JUL-16, 12-JUL-16,86,87,,
