Dividend Records - 2001,,,,,,,
Company ID,Type of Shares,Company Name,XD From,Date of Payment,Rate & Description,Cum Price,Ex Price
CTHR,Nt0000,CEY THEATRES 8/-,2001-11-12 00:00:00,2001-11-22 00:00:00,75.00BOOKS KEPT OPEN,420,
RCL,Nt0000,ROYAL CERAMICS,2001-11-12 00:00:00,2001-11-22 00:00:00,35.00BOOKS KEPT OPEN,24.75,20
HARI,Nt0000,HARISCHANDRA,2001-11-13 00:00:00,2001-12-06 00:00:00,30FINAL,150,150
PDL,Nt0000,PDL,2001-11-13 00:00:00,2001-11-23 00:00:00,8.00INTERIM,17.5,17
CPRT,Nt0000,CEYLON PRINTERS,2001-11-14 00:00:00,2001-11-26 00:00:00,30.00BOOKS KEPT OPEN,90,
KZOO,Nt0000,KALAMAZOO,2001-11-14 00:00:00,2001-11-26 00:00:00,25.00BOOKS KEPT OPEN,100,
PARA,Nt0000,PARAGON,2001-11-14 00:00:00,2001-11-26 00:00:00,10.00BOOKS KEPT OPEN,35,
COCO,Nt0000,COCO LANKA,2001-11-20 00:00:00,2001-12-03 00:00:00,10.00FIRST & FINAL,17,16.25
ASPH,Nt0000,INDUSTRIAL ASPH.,2001-11-20 00:00:00,2001-12-03 00:00:00,10.00BOOKS KEPT OPEN,38,
APDL,Nt0000,ASSOCIATED PROP.,2001-11-26 00:00:00,2001-12-07 00:00:00,15.00BOOKS KEPT OPEN,12.25,10.75
HUNT,Nt0000,HUNTERS 1/-,2001-11-26 00:00:00,2001-12-07 00:00:00,12.50BOOKS KEPT OPEN,5.5,5
ONAL,Nt0000,ON'ALLY,2001-11-26 00:00:00,2001-12-07 00:00:00,5.00BOOKS KEPT OPEN,11,11
AMW,Nt0000,AMW,2001-11-27 00:00:00,2001-12-10 00:00:00,10.00BOOKS KEPT OPEN,30,30
BOPL,Nt0000,BOGAWANTALAWA,2001-12-07 00:00:00,2001-12-18 00:00:00,5.00BOOKS KEPT OPEN,18.75,23
MPRH,Nt0000,MET. RES. HOL.,2001-12-07 00:00:00,2001-12-18 00:00:00,3.00BOOKS KEPT OPEN,20,
NEH,Nt0000,NUWARA ELIYA,2001-12-07 00:00:00,2001-12-18 00:00:00,20.00BOOKS KEPT OPEN,250,
COMB,Xt0000,COMMERCIAL BANK,2001-12-11 00:00:00,2001-12-21 00:00:00,14.00BOOKS KEPT OPEN,120,103
COMB,Nt0000,COMMERCIAL BANK,2001-12-11 00:00:00,2001-12-21 00:00:00,14.00BOOKS KEPT OPEN,145,140
REG,Nt0000,REGNIS,2001-12-11 00:00:00,2001-12-21 00:00:00,20.00BOOKS KEPT OPEN,42.5,45
SINS,Nt0000,SINGER SRI LANKA,2001-12-11 00:00:00,2001-12-21 00:00:00,20.00BOOK KEPT OPEN,43,42
AEC,Nt0000,AEC 8/-,2001-12-13 00:00:00,2001-12-28 00:00:00,20.00BOOKS KEPT OPEN,60,
