"Market Capitalization of Listed Companies as at December, 2022",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
SIRA,SIRA.N0000,SIERRA  CABL,9.4,537512430,5052616842
SLND,SLND.N0000,SERENDIB LAND,1263.75,398906,504117457.5
SLTL,SLTL.N0000,SLT,68,1804860000,122730480000
SMOT,SMOT.N0000,SATHOSA MOTORS,130.25,6033622,785879265.5
SOY,SOY.N0000,CONVENIENCE FOOD,1307,2750000,3594250000
SPEN,SPEN.N0000,AITKEN SPENCE,128,405996045,51967493760
STAF,STAF.N0000,DOLPHIN HOTELS,31.7,63242954,2004801641.8
SUN,SUN.N0000,SUNSHINE HOLDING,34.8,491973629,17120682289.2
SWAD,SWAD.N0000,SWADESHI,15003.5,149333,2240517665.5
TAFL,TAFL.N0000,THREE ACRE FARMS,124.75,23545000,2937238750
TAJ,TAJ.N0000,TAL LANKA,16.4,139637494,2290054901.6
TANG,TANG.N0000,TANGERINE,59.1,20000000,1182000000
TAP,TAP.N0000,AMBEON CAPITAL,9.9,1002724815,9926975668.5
TESS,TESS.N0000,TESS AGRO,1.1,507797287,558577015.7
TESS,TESS.X0000,TESS AGRO,0.8,50000000,40000000
TILE,TILE.N0000,LANKA TILES,46.1,265252050,12228119505
TJL,TJL.N0000,TEEJAY LANKA,31.7,716739975,22720657207.5
TKYO,TKYO.N0000,TOKYO CEMENT,33,267300000,8820900000
TKYO,TKYO.X0000,TOKYO CEMENT,26,133650000,3474900000
TPL,TPL.N0000,TALAWAKELLE,97.8,47500000,4645500000
TRAN,TRAN.N0000,TRANS ASIA,45,200000000,9000000000
TSML,TSML.N0000,TEA SMALLHOLDER,48.1,30000000,1443000000
TYRE,TYRE.N0000,KELANI TYRES,58,80400000,4663200000
UAL,UAL.N0000,UNION ASSURANCE,27.9,589285720,16441071588
UBC,UBC.N0000,UNION BANK,6.6,1083558338,7151485030.8
UCAR,UCAR.N0000,UNION CHEMICALS,543,1500000,814500000
UDPL,UDPL.N0000,UDAPUSSELLAWA,99,19398850,1920486150
UML,UML.N0000,UNITED MOTORS,60.9,100900626,6144848123.4
VFIN,VFIN.N0000,VALLIBEL FINANCE,22.5,235453400,5297701500
VLL,VLL.N0000,VIDULLANKA,6.1,868459721,5297604298.1
VLL,VLL.X0000,VIDULLANKA,4.5,72394086,325773387
VONE,VONE.N0000,VALLIBEL ONE,30.1,1138915644,34281360884.4
VPEL,VPEL.N0000,VALLIBEL,6.3,747109731,4706791305.3
WAPO,WAPO.N0000,GALLE FACE CAP,16.1,25833808,415924308.8
WATA,WATA.N0000,WATAWALA,74,203308633,15044838842
WIND,WIND.N0000,WINDFORCE,14.9,1350768942,20126457235.8
YORK,YORK.N0000,YORK ARCADE,126,750000,94500000
