Dividend Record 1995,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
HSIG,Nt0000,HOTEL SIGIRIYA,1995-09-25 00:00:00,1995-10-06 00:00:00,15,1 ST&FINAL,22,20
TFC,Nt0000,THE FINANCE CO.,1995-09-12 00:00:00,1995-10-09 00:00:00,20,FIRST & FINAL,38,37.5
DPL,Nt0000,DANKOTUWA PORCEL,1995-10-02 00:00:00,1995-10-12 00:00:00,5,INTERIM,28.5,29
TANG,Nt0000,TANGERINE,1995-10-02 00:00:00,1995-10-12 00:00:00,10,FINAL,97,85
CSF,Nt0000,CEYLINCO SEC.,1995-09-27 00:00:00,1995-10-17 00:00:00,5,FIRST & FINAL,11.5,10.75
GLAX,Nt0000,GLAXO,1995-09-29 00:00:00,1995-10-17 00:00:00,15,1 ST & FINAL,30.5,31
GREG,Nt0000,WALK & GREIG 2/-,1995-10-09 00:00:00,1995-10-19 00:00:00,10,FIRST & FINAL,17.25,18
SIL,Nt0000,SAMSON INTERNAT.,1995-10-02 00:00:00,1995-10-20 00:00:00,10,FINAL (T.F.)  OPTION OFRE-INVESTING THE,113.75,100
BLUE,Nt0000,BLUE DIAMONDS,1995-10-05 00:00:00,1995-10-25 00:00:00,5,FIRST & FINAL,17.75,16.5
GLAS,Nt0000,CEYLON GLASS CO.,1995-10-18 00:00:00,1995-10-30 00:00:00,5,TRANSFER  BOOKS KEPT OPEN,15,14.75
SLND,Nt0000,SEREND LND 100/-,1995-10-18 00:00:00,1995-10-30 00:00:00,6,1 ST & FINAL(T.F),100,97
SHOT,Nt0000,SERENDIB HOTELS,1995-10-18 00:00:00,1995-10-30 00:00:00,7,FIRST & FINAL,22,18.5
BATA,Nt0000,BATA,1995-10-19 00:00:00,1995-10-31 00:00:00,7.5,TRANSFER BOOKS KEPT OPEN,26,26
COLO,Nt0000,COLONIAL MTR 5/-,1995-10-10 00:00:00,1995-10-31 00:00:00,30,1 ST & FINAL,260,315
DIST,Nt0000,DISTILLERIES 1/-,1995-10-12 00:00:00,1995-10-31 00:00:00,33.5,FIRST & FINAL,7,6.75
PMB,Nt0000,PEOPLE'S MERCH,1995-10-03 00:00:00,1995-10-31 00:00:00,12,FINAL,19.5,19
MSL,Nt0000,MERC. SHIPPING,1995-10-19 00:00:00,1995-11-01 00:00:00,5,FIRST & FINAL,64,64
PALM,Nt0000,PALM GARDEN,1995-09-12 00:00:00,1995-11-02 00:00:00,10,FINAL,14,13
BHR,Nt0000,RIVERINA HOTELS,1995-09-12 00:00:00,1995-11-02 00:00:00,15,FINAL,33,32
ABAN,Nt0000,ABANS,1995-10-11 00:00:00,1995-11-03 00:00:00,35,FIRST & FINAL,52,52.5
GOOD,Nt0000,GOOD HOPE,1995-10-11 00:00:00,1995-11-03 00:00:00,22.5,,300,300
INDO,Nt0000,INDO MALAY,1995-10-11 00:00:00,1995-11-03 00:00:00,16,,530.25,375
NEH,Nt0000,NUWARA ELIYA,1995-10-24 00:00:00,1995-11-03 00:00:00,50,FIRST & FINAL,1350.25,1400
SUGA,Nt0000,PELWATTE,1995-10-10 00:00:00,1995-11-03 00:00:00,30,,14.25,10
BUKI,Nt0000,BUKIT DARAH,1995-10-12 00:00:00,1995-11-07 00:00:00,18,,335,300
CHOT,Nt0000,HOTELS CORP. 2/-,1995-10-25 00:00:00,1995-11-07 00:00:00,50,FINAL,90,90
SELI,Nt0000,SELINSING,1995-10-12 00:00:00,1995-11-07 00:00:00,18,,340,357
SHAL,Nt0000,SHALIMAR,1995-10-12 00:00:00,1995-11-07 00:00:00,31,,700.25,700
COCO,Nt0000,COCO LANKA,1995-10-20 00:00:00,1995-11-09 00:00:00,5,FINAL (T.F.),13.25,13
EMER,Nt0000,EASTERN MERCHANT,1995-10-20 00:00:00,1995-11-10 00:00:00,30,1 ST&FINAL (49%T.F),90,86.5
GEST,Nt0000,GESTETNER,1995-10-25 00:00:00,1995-11-10 00:00:00,17.5,FIRST & FINAL,55,87.5
CARS,Nt0000,CARSONS,1995-10-16 00:00:00,1995-11-13 00:00:00,10,,530,530
CIND,Nt0000,CENTRAL IND.,1995-10-30 00:00:00,1995-11-15 00:00:00,20,FIRST & FINAL,69,72
HARI,Nt0000,HARISCHANDRA,1995-10-04 00:00:00,1995-11-16 00:00:00,17.5,FINAL,135,140
JFIN,Nt0000,JAMES FINLAY,1995-11-07 00:00:00,1995-11-17 00:00:00,7.5,5.5%   T.F.  INTERIM,44,42
CPRT,Nt0000,CEYLON PRINTERS,1995-10-30 00:00:00,1995-11-21 00:00:00,35,,100,100
KZOO,Nt0000,KALAMAZOO,1995-10-30 00:00:00,1995-11-21 00:00:00,50,,110,110
