,,,,DIVIDEND ANNOUNCEMENTS 2019 (JANUARY TO DECEMBER),,,,
2019-08-16 00:00:00, GEST-N-0000, GESTETNER,1.25, First and Final dividend Financial year: Year ended 31st March 2019, 01-OCT-19, 09-OCT-19,110,110
2019-08-19 00:00:00, RFL-N-0000, RAMBODA FALLS,0.5, Second interim Financial year: Financial Year 2018/2019, 28-AUG-19, 06-SEP-19,18.1,18.1
2019-08-20 00:00:00, NEH-N-0000, NUWARA ELIYA,16, XD date is on the 29th August. entered 29th as record date due to system issue.  First interim Financial year: 2019/2020, 30-AUG-19, 09-SEP-19,1019.1,1019.1
2019-08-21 00:00:00, ELPL-N-0000, ELPITIYA,1.25, First and Final dividend Financial year: 2018/2019, 20-SEP-19, 30-SEP-19,21,19.2
2019-08-22 00:00:00, SHAW-N-0000, LEE HEDGES,1, Final dividend Financial year: 31/03/2019, 19-SEP-19, 27-SEP-19,79.9,79.9
2019-08-22 00:00:00, ASPM-N-0000, SPENCEPLANTATION,2, First and Final dividend Financial year: 2018/2019, 20-SEP-19, 30-SEP-19,45.5,45.5
2019-08-23 00:00:00, RWSL-N-0000, RAIGAM SALTERNS,0.05, Final dividend Financial year:MARCH 31, 27-SEP-19, 07-OCT-19,2.2,2.3
2019-08-26 00:00:00, ABAN-N-0000, ABANS,3, Final dividend Financial year: 2018/2019, 19-SEP-19, 27-SEP-19,66.3,64.4
2019-08-27 00:00:00, LITE-N-0000, LAXAPANA,0.25, First and Final dividend Financial year:31st March 2019, 01-OCT-19, 09-OCT-19,10.2,10.2
2019-08-27 00:00:00, COLO-N-0000, C M HOLDINGS,2, First and Final dividend Financial year:31st March 2019, 26-SEP-19, 04-OCT-19,55.1,53.3
2019-08-29 00:00:00, EBCR-N-0000, E B CREASY,12, First and Final dividend Financial year:31st March 2019, 01-OCT-19, 09-OCT-19,1446.9,1446.9
2019-08-29 00:00:00, SLND-N-0000, SERENDIB LAND,25, First and Final dividend Financial year:31st March 2019, 01-OCT-19, 09-OCT-19,1300,1300
2019-09-02 00:00:00, MERC-N-0000, MERCANTILE INV,20, First and Final dividend Financial year: Year ended 31st March 2019, 11-SEP-19, 18-SEP-19,2600,2600
2019-09-03 00:00:00, CARS-N-0000, CARSONS,0.75, First interim Financial year: For the financial year ending 31.03.2020, 12-SEP-19, 23-SEP-19,168.4,168.4
2019-09-03 00:00:00, LPRT-N-0000, LAKE HOUSE PRIN.,2, Final dividend Financial year:2018/2019, 01-OCT-19, 09-OCT-19,150,150
2019-09-17 00:00:00, PAP-N-0000, PANASIAN POWER,0.12, INTERIM DIVIDEND  Financial year:2019/2020, 26-SEP-19, 07-OCT-19,3.4,3.4
2019-09-18 00:00:00, HUNT-N-0000, HUNTERS,2.25, Final dividend Financial year:31st March 2019, 01-OCT-19, 09-OCT-19,400.1,400.1
2019-09-23 00:00:00, ABL-N-0000, AMANA BANK,0.08, First interim Financial year: 2019, 02-OCT-19, 11-OCT-19,2.6,2.6
2019-09-26 00:00:00, HPFL-N-0000, LOTUS HYDRO,0.8, First interim Financial year: 2019/2020, 07-OCT-19, 16-OCT-19,6.6,5.5
2019-09-27 00:00:00, MGT-N-0000, HAYLEYS FABRIC,0.4, First interim Financial year: 2019/2020, 08-OCT-19, 16-OCT-19,15.3,15.5
2019-09-27 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,0.5, First interim Financial year: 2019/2020, 08-OCT-19, 16-OCT-19,80,80
2019-09-30 00:00:00, PINS-N-0000, PEOPLE'S INS,0.75, First interim Financial year: Financial Year ending 31st December 2019, 09-OCT-19, 18-OCT-19,20.2,21.5
2019-10-24 00:00:00, LLUB-N-0000, CHEVRON,2.25, Financial year: 31/12/2019 Shareholder approval: Not required, 04-NOV-19, 15-NOV-19,70.4,68.8
2019-10-25 00:00:00, COMB-N-0000, COMMERCIAL BANK,1.5, First interim Financial year: 2019, 05-NOV-19, 18-NOV-19,98.9,97.9
2019-10-25 00:00:00, COMB-X-0000, COMMERCIAL BANK,1.5, First interim Financial year: 2019, 05-NOV-19, 18-NOV-19,87.6,86.9
2019-10-28 00:00:00, LHCL-N-0000, LANKA HOSPITALS,0.75, First interim Financial year: DECEMBER 31, 06-NOV-19, 19-NOV-19,41.5,41
2019-11-01 00:00:00, JKH-N-0000, JKH,1, First interim Financial year: 31/03/2020, 14-NOV-19, 25-NOV-19,154.5,154.9
2019-11-13 00:00:00, AEL-N-0000, ACCESS ENG SL,0.25, First interim Financial year: 2019/2020, 22-NOV-19, 03-DEC-19,22.8,22.5
2019-11-14 00:00:00, DIST-N-0000, DISTILLERIES,0.65, First interim Financial year: 2019/2020, 25-NOV-19, 04-DEC-19,19.4,18.6
2019-11-19 00:00:00, MELS-N-0000, MELSTACORP,2, First interim Financial year: 31st March 2020, 28-NOV-19, 09-DEC-19,45,44.3
2019-11-20 00:00:00, COMD-N-0000, COMMERCIAL DEV.,2, Interim Dividend Financial year:Dec 31, 29-NOV-19, 10-DEC-19,80.2,78.2
2019-11-21 00:00:00, CTLD-N-0000, C T LAND,1, First interim Financial year:2019/20, 02-DEC-19, 12-DEC-19,30.6,31.9
2019-11-21 00:00:00, CARG-N-0000, CARGILLS,1.9, First interim Financial year:2019/2020, 02-DEC-19, 12-DEC-19,196.7,195
2019-11-21 00:00:00, ONAL-N-0000, ON'ALLY,0.23, Interim dividend  Financial year:2019-20, 02-DEC-19, 10-DEC-19,39.9,39.9
2019-11-22 00:00:00, CTHR-N-0000, C T HOLDINGS,1.8, First interim Financial year:Year ending 31 March 2020, 03-DEC-19, 13-DEC-19,170,165
