,,,,DIVIDEND ANNOUNCEMENTS 2021 (JANUARY TO DECEMBER),,,,
2021-07-29 00:00:00, ASHO-N-0000, LANKA ASHOK,2, First and Final dividend, 21-SEP-21, 11-OCT-21,690,690
2021-08-06 00:00:00, MCPL-N-0000, MAHAWELI COCONUT,1.5, Final dividend, 28-SEP-21, 18-OCT-21, , 
2021-08-16 00:00:00, SHAW-N-0000, LEE HEDGES,1, Final dividend, 28-SEP-21, 18-OCT-21,65.2,68.2
2021-08-18 00:00:00, LMF-N-0000, LMF,5, First and Final dividend, 01-OCT-21, 14-OCT-21,183,176.5
2021-08-20 00:00:00, HUNT-N-0000, HUNTERS,10, Final Dividend, 08-NOV-21, 19-NOV-21,670,667.5
2021-09-08 00:00:00, CARS-N-0000, CARSONS,1.5, First Interim, 17-SEP-21, 08-OCT-21,285,283
2021-09-29 00:00:00, ALUM-N-0000, ALUMEX PLC,0.1, First Interim, 08-OCT-21, 21-OCT-21,12.2,12.1
2021-09-29 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,0.95, First Interim, 08-OCT-21, 22-OCT-21,55.2,54.8
2021-09-29 00:00:00, MGT-N-0000, HAYLEYS FABRIC,0.4, First Interim, 08-OCT-21, 22-OCT-21,34.1,33.8
2021-09-30 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,1, First Interim, 11-OCT-21, 26-OCT-21,72.6,73.1
2021-09-30 00:00:00, KVAL-N-0000, KELANI VALLEY,0.7, First Interim, 11-OCT-21, 25-OCT-21,43.4,43
2021-10-01 00:00:00, LHCL-N-0000, LANKA HOSPITALS,1, First Interim, 12-OCT-21, 03-NOV-21,53.8,53.6
2021-10-01 00:00:00, LPRT-N-0000, LAKE HOUSE PRIN.,1.75, First and Final dividend, 01-NOV-21, 23-NOV-21,160,160
2021-10-06 00:00:00, EBCR-N-0000, E B CREASY,1, First and Final dividend, 12-NOV-21, 01-DEC-21,24.5,23.4
2021-10-11 00:00:00, UCAR-N-0000, UNION CHEMICALS,15, FIRST INTERIM DIVIDEND - FY 25TH DEC 2021, 22-OCT-21, 29-OCT-21,820.5,820.5
2021-10-15 00:00:00, HHL-N-0000, HEMAS HOLDINGS,2.9, First interim, 28-OCT-21, 10-NOV-21,74.9,72.9
2021-10-22 00:00:00, CIC-N-0000, CIC,1, Interim Dividend , 02-NOV-21, 24-NOV-21,52.3,51.7
2021-10-22 00:00:00, CIC-X-0000, CIC,1, Interim Dividend, 02-NOV-21, 24-NOV-21,44.1,42.9
2021-10-25 00:00:00, BFL-N-0000, BAIRAHA FARMS,3, First interim Financial year ending 31st March 2022, 03-NOV-21, 25-NOV-21,176.5,174.5
2021-10-26 00:00:00, RICH-N-0000, RICHARD PIERIS,0.6, First Interim, 05-NOV-21, 15-NOV-21,18.2,17.3
2021-10-27 00:00:00, APLA-N-0000, ACL PLASTICS,10, Final dividend Financial year 31st March 2021, 08-NOV-21, 29-NOV-21,452.75,419.25
2021-10-28 00:00:00, LLUB-N-0000, CHEVRON,4, Third Interim dividend for the financial year 2021, 09-NOV-21, 19-NOV-21,113.75,107
2021-10-28 00:00:00, PARQ-N-0000, SWISSTEK,0.8, Interim Dividend for the year ended 31st March 2022, 09-NOV-21, 30-NOV-21,30.5,28.8
2021-10-29 00:00:00, LWL-N-0000, LANKA WALLTILE,3.1, First Interim, 10-NOV-21, 01-DEC-21,87.6,86.3
2021-10-29 00:00:00, TILE-N-0000, LANKA TILES,3, First interim, 10-NOV-21, 01-DEC-21,84.1,81.6
2021-11-02 00:00:00, JKH-N-0000, JKH,0.5, First interim, 12-NOV-21, 03-DEC-21,149.5,150
2021-11-02 00:00:00, RCL-N-0000, ROYAL CERAMIC,1.5, First interim, 12-NOV-21, 03-DEC-21,54.8,53.3
2021-11-05 00:00:00, AMSL-N-0000, ASIRI SURG,1.2, First interim , 16-NOV-21, 07-DEC-21,17.7,16.3
2021-11-05 00:00:00, ASIR-N-0000, ASIRI,1.3, First interim , 16-NOV-21, 07-DEC-21,33,31.3
2021-11-09 00:00:00, HPFL-N-0000, LOTUS HYDRO,1, First interim Financial year 31st March 2022, 19-NOV-21, 09-DEC-21,12,10.4
2021-11-09 00:00:00, LION-N-0000, LION  BREWERY,3.68, First interim Financial year 31 March 2022, 19-NOV-21, 09-DEC-21,540.25,540.25
2021-11-10 00:00:00, CTC-N-0000, CEYLON TOBACCO,15, 3rd Interim Dividend, 22-NOV-21, 10-DEC-21,901,901.25
2021-11-10 00:00:00, DIST-N-0000, DISTILLERIES,0.86, First Interim, 22-NOV-21, 10-DEC-21,17.5,17.1
2021-11-10 00:00:00, MELS-N-0000, MELSTACORP,2.7, First Interim, 22-NOV-21, 10-DEC-21, , 
2021-11-10 00:00:00, WATA-N-0000, WATAWALA,6, First Interim, 22-NOV-21, 08-DEC-21,100.5,99.7
2021-11-11 00:00:00, GLAS-N-0000, PGP GLASS,0.25, First Interim, 23-NOV-21, 13-DEC-21,16,16
2021-11-11 00:00:00, SUN-N-0000, SUNSHINE HOLDING,0.5, 1st Interim Dividend for FY 21/22, 23-NOV-21, 13-DEC-21,34.5,35.8
2021-11-16 00:00:00, VLL-N-0000, VIDULLANKA,0.18, Second Interim, 26-NOV-21, 16-DEC-21,6.9,6.6
2021-11-16 00:00:00, VLL-X-0000, VIDULLANKA,0.18, Second Interim, 26-NOV-21, 16-DEC-21,5.4,5.3
2021-11-17 00:00:00, COMD-N-0000, COMMERCIAL DEV.,2.5, First Interim, 29-NOV-21, 17-DEC-21,134.75,133.5
2021-11-19 00:00:00, ASIY-N-0000, ASIA SIYAKA,0.1,  First interim, 30-NOV-21, 20-DEC-21,3.4,3.3
2021-11-19 00:00:00, CARG-N-0000, CARGILLS,2,  First interim, 30-NOV-21, 20-DEC-21,216.75,210.5
2021-11-19 00:00:00, CTHR-N-0000, C T HOLDINGS,1.55, First interim, 30-NOV-21, 20-DEC-21,165,165
2021-11-19 00:00:00, PACK-N-0000, EX-PACK,0.2, INTERIM , 30-NOV-21, 20-DEC-21, , 
2021-11-23 00:00:00, JAT-N-0000, JAT HOLDINGS,0.32, First Interim, 02-DEC-21, 22-DEC-21, , 
2021-11-26 00:00:00, BREW-N-0000, CEYLON BEVERAGE,6.31, Second interim, 07-DEC-21, 28-DEC-21,750,750
2021-12-01 00:00:00, CTEA-N-0000, DILMAH CEYLON,15, FIRST INTERIM, 10-DEC-21, 21-DEC-21,700,699.75
2021-12-02 00:00:00, CFIN-N-0000, CENTRAL FINANCE,1.5, INTERIM DIVIDEND, 13-DEC-21, 31-DEC-21,90.9,92.6
