Dividend Records - 2009,,,,,,,
Date of Announcement,Security,Company Name,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2009-05-25 00:00:00,TSML-N-0000,TEA SMALLHOLDER FACTORIES PLC,FINAL DIVIDEND OF RS.6.00 PER SHARE,2009-06-03 00:00:00,2009-06-12 00:00:00,99,94
2009-05-27 00:00:00,AHPL-N-0000,ASIAN HOTELS AND PROPERTIES PLC,FINAL DIVIDEND OF RS.1.00 PER SHARE,2009-06-05 00:00:00,2009-06-16 00:00:00,39.5,40
2009-05-27 00:00:00,HHL-N-0000,HEMAS HOLDINGS PLC,FIRST & FINAL DIVIDEND OF RS. 1.80 PER SHARE,2009-06-29 00:00:00,2009-07-07 00:00:00,96,96
2009-05-27 00:00:00,SUN-N-0000,SUNSHINE HOLDINGS PLC,FINAL DIVIDEND OF RS.2.50 PER SHARE,2009-07-31 00:00:00,2009-08-11 00:00:00,162.25,150
2009-05-28 00:00:00,KOTA-N-0000,KOTAGALA PLANTATIONS PLC,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE,2009-07-22 00:00:00,2009-07-30 00:00:00,32,31
2009-05-29 00:00:00,JKL-N-0000,JOHN KEELLS PLC,FINAL DIVIDEND OF RS.5.00 PER SHARE,2009-06-09 00:00:00,2009-06-18 00:00:00,95.5,89.5
2009-06-01 00:00:00,TRAN-N-0000,TRANS ASIA HOTELS PLC,FINAL DIVIDEND OF RS.1.00 PER SHARE,2009-06-10 00:00:00,2009-06-19 00:00:00,101,103.75
2009-06-03 00:00:00,CARG-N-0000,CARGILLS (CEYLON) PLC,FINAL DIVIDEND OF RS.0.30 PER SHARE,2009-08-10 00:00:00,2009-08-18 00:00:00,46,45.75
2009-06-05 00:00:00,HUNT-N-0000,HUNTER & COMPANY PLC,FIRST & FINAL DIVIDEND OF RS0.50 PER SHARE,2009-10-01 00:00:00,2009-10-07 00:00:00,230,260
2009-06-08 00:00:00,APDL-N-0000,ASSOCIATED PROPERTY DEVELOPMENT PLC,FINAL DIVIDEND OF RS.2.50 PER SHARE,2009-06-24 00:00:00,2009-06-30 00:00:00,57.5,57.75
2009-06-11 00:00:00,KGAL-N-0000,KEGALLE  PLANTATIONS  PLC,FINAL DIVIDEND OF RS. 1.00 PER SHARE,2009-07-29 00:00:00,2009-08-06 00:00:00,35,34
