Dividend Records - 2000,,,,,,,,
Company ID,Type of Shares,Company Name,XD Date,Date of Payment,Rate,Description,Cum Price,Ex Price
TILE,Nt0000,LANKA TILES,2000-08-11 00:00:00,2000-08-24 00:00:00,15,INTERIM DIVIDEND,17.75,17
LVEN,Nt0000,LANKA VENTURES,2000-08-11 00:00:00,2000-08-24 00:00:00,5,FIRST & FINAL DIVIDEND,8,7.75
COXY,Nt0000,CEYLON OXYGEN,2000-08-16 00:00:00,2000-08-28 00:00:00,35,INTERIM,43.75,42.5
BOPL,Nt0000,BOGAWANTALAWA,2000-08-22 00:00:00,2000-09-01 00:00:00,5,FIRST & FINAL,16,16
SIL,Nt0000,SAMSON INTERNAT.,2000-08-22 00:00:00,2000-09-01 00:00:00,5,FIRST & FINAL (AMENDED TO TAXABLE),11,13.5
MLL,Nt0000,MLL,2000-08-28 00:00:00,2000-09-07 00:00:00,5,FINAL,15,15
REG,Nt0000,REGNIS,2000-09-07 00:00:00,2000-09-20 00:00:00,15,INTERIM,28,26.25
SINI,Nt0000,SINGER IND.,2000-09-07 00:00:00,2000-09-20 00:00:00,15,INTERIM,27,27
SINS,Nt0000,SINGER SRI LANKA,2000-09-07 00:00:00,2000-09-20 00:00:00,20,INTERIM,36,35
TRAN,Nt0000,TRANS ASIA,2000-09-06 00:00:00,2000-09-25 00:00:00,14,INTERIM,24.75,23.75
HSIG,Nt0000,HOTEL SIGIRIYA,2000-09-14 00:00:00,2000-09-26 00:00:00,10,FINAL,11.5,11.5
BHR,Nt0000,RIVERINA HOTELS,2000-09-07 00:00:00,2000-09-27 00:00:00,10,INTERIM (TAX FREE),20,19
CTC,Nt0000,CEYLON TOBACCO,2000-09-12 00:00:00,2000-09-28 00:00:00,17,SECOND INTERIM,33.25,32.25
LALU,Nt0000,LANKA ALUMINIUM,2000-09-14 00:00:00,2000-10-02 00:00:00,12.5,FIRST & FINAL,11.5,11
ACME,Nt0000,ACME,2000-09-21 00:00:00,2000-10-03 00:00:00,5,FIRST & FINAL,5.5,5.5
BRWN,Nt0000,BROWNS 8/-,2000-09-21 00:00:00,2000-10-03 00:00:00,10,FIRST & FINAL,80,80
PALM,Nt0000,CONFIFI HOTEL,2000-09-15 00:00:00,2000-10-04 00:00:00,13.5,INTERIM (3.5% TAX FREE),31,30
LOLC,Nt0000,LOLC,2000-09-26 00:00:00,2000-10-06 00:00:00,15,INTERIM (ON ISSUED CAP PRIOR TO BONUS),65,66
SHAW,Nt0000,SHAW WALLACE,2000-09-21 00:00:00,2000-10-06 00:00:00,10,FIRST & FINAL,42.5,42.75
CIND,Nt0000,CENTRAL IND.,2000-09-20 00:00:00,2000-10-09 00:00:00,7.5,FINAL,17,17.25
CTHR,Nt0000,CEY THEATRES 8/-,2000-09-27 00:00:00,2000-10-09 00:00:00,45,FIRST & FINAL,190,
PMB,Nt0000,PEOPLE'S MERCH,2000-09-15 00:00:00,2000-10-10 00:00:00,4,FIRST & FINAL,6.75,6.25
CTEA,Nt0000,TEA SERVICES,2000-09-20 00:00:00,2000-10-13 00:00:00,10,FINAL,80,80
SLND,Nt0000,SEREND LND 100/-,2000-10-04 00:00:00,2000-10-17 00:00:00,8.5,FIRST & FINAL DIVIDEND,60,55
CTLD,Nt0000,C T LAND,2000-10-02 00:00:00,2000-10-20 00:00:00,11,FIRST & FINAL (TAX FREE),8.25,7.25
LLUB,Nt0000,CALTEX,2000-10-09 00:00:00,2000-10-20 00:00:00,11.5,SECOND INTERIM,61,61
JFIN,Nt0000,JAMES FINLAY,2000-10-10 00:00:00,2000-10-23 00:00:00,10,INTERIM,26,25
RCL,Nt0000,ROYAL CERAMICS,2000-10-10 00:00:00,2000-10-23 00:00:00,15,FINAL,17.75,16.75
CFIN,Nt0000,CENTRAL FINANCE,2000-10-13 00:00:00,2000-10-25 00:00:00,8,3RD & FINAL(0.8% T/F)(ON INCREASED CAP.),52,50
TFC,Nt0000,THE FINANCE CO.,2000-10-16 00:00:00,2000-10-26 00:00:00,20,FIRST & FINAL,17.5,15.5
PHAR,Nt0000,COL PHARMACY 5/-,2000-10-17 00:00:00,2000-10-27 00:00:00,35,FIRST & FINAL,200,
ABAN,Nt0000,ABANS,2000-10-18 00:00:00,2000-10-30 00:00:00,25,FIRST & FINAL,29,26
LMF,Nt0000,LMF,2000-10-06 00:00:00,2000-10-30 00:00:00,12.5,FIRST & FINAL,8.5,6.75
APDL,Nt0000,ASSOCIATED PROP.,2000-10-19 00:00:00,2000-10-31 00:00:00,9,FINAL,10.5,10.5
ALLI,Nt0000,ALLIANCE,2000-10-13 00:00:00,2000-11-01 00:00:00,20,FIRST & FINAL,27,26
CHOU,Nt0000,CEYLINCO HOUSING,2000-10-20 00:00:00,2000-11-01 00:00:00,15,FIRST & FINAL (TAX FREE),12.5,12.5
WMM,Nt0000,W.M.MENDIS,2000-10-20 00:00:00,2000-11-01 00:00:00,10,1ST &  FINAL(ON THE INCREASED SHARE CAP),9.25,7
ARPI,Nt0000,ARPICO,2000-10-16 00:00:00,2000-11-02 00:00:00,5,FIRST & FINAL,10,9
PALM,Nt0000,CONFIFI HOTEL,2000-10-10 00:00:00,2000-11-02 00:00:00,15,FINAL,30,30
HUNT,Nt0000,HUNTERS 1/-,2000-10-24 00:00:00,2000-11-03 00:00:00,12.5,FIRST & FINAL,5,5
MORI,Nt0000,MORISONS,2000-10-09 00:00:00,2000-11-03 00:00:00,50,FIRST & FINAL,125,124
MSL,Nt0000,MERC. SHIPPING,2000-10-25 00:00:00,2000-11-06 00:00:00,15,FIRST & FINAL,37,39.25
RENU,Nt0000,RENUKA CITY HOT.,2000-10-25 00:00:00,2000-11-06 00:00:00,30,FINAL (TAX FREE),31.25,31.5
SMOT,Nt0000,SATHOSA MOTORS,2000-10-27 00:00:00,2000-11-07 00:00:00,15,FIRST & FINAL,18,17.75
APLA,Nt0000,ACL PLASTICS,2000-10-30 00:00:00,2000-11-09 00:00:00,10,FIRST & FINAL,20,18.5
BHR,Nt0000,RIVERINA HOTELS,2000-10-18 00:00:00,2000-11-09 00:00:00,15,FINAL,18.5,18
COLO,Nt0000,COLONIAL MTR 5/-,2000-11-03 00:00:00,2000-11-15 00:00:00,7,FIRST & FINAL,4.75,4.5
DIST,Nt0000,DISTILLERIES 1/-,2000-10-25 00:00:00,2000-11-15 00:00:00,40,FIRST & FINAL,4.5,4.25
KCAB,Nt0000,KELANI CABLES,2000-11-06 00:00:00,2000-11-16 00:00:00,25,FIRST & FINAL,33,28
CPRT,Nt0000,CEYLON PRINTERS,2000-11-09 00:00:00,2000-11-21 00:00:00,30,FIRST & FINAL,100,100
PARA,Nt0000,PARAGON,2000-11-09 00:00:00,2000-11-21 00:00:00,25,FIRST & FINAL,40,
ACL,Nt0000,ACL,2000-11-13 00:00:00,2000-11-23 00:00:00,10,FINAL,36,40
SIGV,Nt0000,SIGIRIYA VILLAGE,2000-11-13 00:00:00,2000-11-23 00:00:00,20,FIRST & FINAL,45,44.75
TILE,Nt0000,LANKA TILES,2000-11-17 00:00:00,2000-11-29 00:00:00,10,FINAL,19.5,19
COMD,Nt0000,COMMERCIAL DEV.,2000-11-20 00:00:00,2000-11-30 00:00:00,19,FINAL,15.75,14.5
ASPH,Nt0000,INDUSTRIAL ASPH.,2000-11-24 00:00:00,2000-12-06 00:00:00,25,FINAL,38,38
AMW,Nt0000,AMW,2000-11-27 00:00:00,2000-12-07 00:00:00,20,FINAL,38,36
ASIR,Nt0000,ASIRI,2000-11-27 00:00:00,2000-12-07 00:00:00,15,FINAL,33.5,33
ONAL,Nt0000,ON'ALLY,2000-11-28 00:00:00,2000-12-08 00:00:00,3,INTERIM,8.5,8
COCO,Nt0000,COCO LANKA,2000-11-27 00:00:00,2000-12-14 00:00:00,10,FIRST & FINAL (TAX FREE),15,15
AEC,Nt0000,AEC 8/-,2000-12-05 00:00:00,2000-12-15 00:00:00,5,FINAL,28.75,31
MAL,Nt0000,MALWATTE,2000-12-07 00:00:00,2000-12-19 00:00:00,7.5,INTERIM,10,9.25
GEST,Nt0000,GESTETNER,2000-12-08 00:00:00,2000-12-20 00:00:00,20,FIRST & FINAL DIVIDEND,60,50
COMB,Nt0000,COMMERCIAL BANK,2000-12-12 00:00:00,2000-12-22 00:00:00,14,INTERIM ( VOTING & NON- VOTING),86,90
MILL,Nt0000,MILLERS 8/-,2000-12-12 00:00:00,2000-12-22 00:00:00,55,FIRST & FINAL (35% TAX FREE),110,105
HNB,Nt0000,HNB,2000-12-13 00:00:00,2000-12-27 00:00:00,20,INTERIM (VOTING & NON-VOTING),48,48
LWL,Nt0000,LANKA WALLTILE,2000-12-14 00:00:00,2000-12-28 00:00:00,10,FINAL,8.5,7.5
TSML,Nt0000,TEA SMALLHOLDER,2000-12-15 00:00:00,2000-12-29 00:00:00,10,INTERIM,23.5,24
