Crossings - January to December 2018,,,,,,
QUARTER,TRADE DATE,COMPANY NAME,SECURITY ID,PRICE,QUANTITY,TURNOVER
2018-4,2018-10-16 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,126.8,1813846,229995672.8
2018-4,2018-10-17 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,110,300000,33000000
2018-4,2018-10-17 00:00:00,MELSTACORP PLC,MELS.N0000,50.5,1940000,97970000
2018-4,2018-10-22 00:00:00,MELSTACORP PLC,MELS.N0000,50,1332345,66617250
2018-4,2018-10-23 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,132,237064,31292448
2018-4,2018-10-25 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,134,1046826,140274684
2018-4,2018-10-25 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,133.7,150000,20055000
2018-4,2018-10-25 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,134,553174,74125316
2018-4,2018-10-25 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,135,500000,67500000
2018-4,2018-10-25 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,134,750000,100500000
2018-4,2018-10-25 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,133.8,500000,66900000
2018-4,2018-10-25 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,134,1686129,225941286
2018-4,2018-10-25 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,134,278364,37300776
2018-4,2018-10-25 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,133.8,1000000,133800000
2018-4,2018-10-25 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,133.7,1000000,133700000
2018-4,2018-10-25 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,133.7,500000,66850000
2018-4,2018-10-26 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,108,200000,21600000
2018-4,2018-10-26 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,109.5,900000,98550000
2018-4,2018-10-26 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,108,200000,21600000
2018-4,2018-10-26 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,108,2000000,216000000
2018-4,2018-10-26 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,108,580000,62640000
2018-4,2018-10-26 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,108,500000,54000000
2018-4,2018-10-26 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,205,254166,52104030
2018-4,2018-10-26 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,500000,105000000
2018-4,2018-10-26 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,205,254634,52199970
2018-4,2018-10-26 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,137.5,152871,21019762.5
2018-4,2018-10-26 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,140,500000,70000000
2018-4,2018-10-26 00:00:00,LION BREWERY (CEYLON) PLC,LION.N0000,575,159884,91933300
2018-4,2018-10-26 00:00:00,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,99,445105,44065395
2018-4,2018-10-26 00:00:00,NESTLE LANKA PLC,NEST.N0000,1600,39209,62734400
2018-4,2018-10-26 00:00:00,NESTLE LANKA PLC,NEST.N0000,1600,20763,33220800
2018-4,2018-10-26 00:00:00,NESTLE LANKA PLC,NEST.N0000,1600,68000,108800000
2018-4,2018-10-29 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,205,859300,176156500
2018-4,2018-10-29 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,357143,75000030
2018-4,2018-10-29 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,335467,70448070
2018-4,2018-10-29 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,172440,36212400
2018-4,2018-10-29 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,142857,29999970
2018-4,2018-10-29 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,205,140700,28843500
2018-4,2018-10-29 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,141,1321475,186327975
2018-4,2018-10-29 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,141,677487,95525667
2018-4,2018-10-29 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,141,1640513,231312333
2018-4,2018-10-29 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,141,3638070,512967870
2018-4,2018-10-29 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,141,9193547,1296290127
2018-4,2018-10-29 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,141,3166978,446543898
2018-4,2018-10-29 00:00:00,SOFTLOGIC HOLDINGS PLC,SHL.N0000,20.2,15000000,303000000
2018-4,2018-10-30 00:00:00,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,114,440000,50160000
2018-4,2018-10-30 00:00:00,HATTON NATIONAL BANK PLC,HNB.N0000,210,216000,45360000
2018-4,2018-10-30 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,146,200000,29200000
2018-4,2018-10-30 00:00:00,JOHN KEELLS HOLDINGS PLC,JKH.N0000,137.5,152871,21019762.5
2018-4,2018-10-30 00:00:00,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,25,1500000,37500000
2018-4,2018-10-30 00:00:00,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,25,1085569,27139225
2018-4,2018-10-31 00:00:00,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,70,1552795,108695650
2018-4,2018-10-31 00:00:00,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,70,3691838,258428660
