Date,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Durables & Apparel,Consumer Services,Diversified Financials,Energy,Food & Staples Retailing,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate Management & Development,Retailing,Software & Services,Telecommunication Services,Transportation,Utilities
2017-05-08 00:00:00,802.949061662198,997.308995585093,999.578608466774,906.59884401585,1040.28969178303,362.120798105537,845.391653908262,837.818716736963,1117.63887243028,964.568585055424,1063.90087798586,1011.01107319019,1083.51062137825,1031.23213728997,1010.52631578947,882.006078518858,982.98134724373,,955.914399943665,669.956140350877,857.576531586983
2017-05-09 00:00:00,797.587131367292,1001.49458818678,999.382020311976,904.659564027293,1037.34520874682,360.842532290457,847.418399038,836.821803952667,1117.69210714965,964.180697736781,1070.16767907821,1016.51660978529,1081.55278562283,1034.04452582888,1010.52631578947,882.519452016034,977.057199145374,,949.587199288909,669.956140350877,849.502689332254
2017-05-12 00:00:00,802.949061662198,1006.58313024298,1001.65494387035,908.701064292045,1048.23606434604,358.650770624218,849.277137856063,832.477454445401,1142.99138285572,967.239946625376,1067.58295408429,1044.04429276078,1079.96577750665,1037.08879080239,1010.52631578947,883.401579828376,970.058422211622,,925.281728980607,669.956140350877,847.393307121559
2017-05-15 00:00:00,766.756032171582,1003.79906347159,999.483842925032,909.369722953906,1042.61879420421,359.606640032714,847.161401232931,798.971102682552,1142.99138285572,965.751852734269,1078.3237720487,1038.53875616568,1078.02371275813,1034.54420201105,960.789473684211,876.547673597019,971.617716539891,,911.547193662768,669.956140350877,832.2474618855
2017-05-16 00:00:00,777.479892761394,1003.02019006114,1004.78431766239,914.816711718963,1045.78197710667,359.826460197546,866.780829409896,818.625842324346,1157.35946635568,962.241276139274,1052.77659602658,1060.56090254607,1075.30262377675,1035.73993529047,1045.26315789474,864.921423672471,962.610966713461,,943.774465072448,686.40350877193,840.986778426097
2017-05-17 00:00:00,765.415549597855,1000.34269458521,1014.41970943813,921.781123821155,1057.4911024226,362.826547931154,868.235957539015,816.453667570713,1159.68992736913,968.342375727319,1074.62688435472,1049.54982935587,1074.96116424379,1035.49908859361,1045.26315789474,866.603960792915,959.760853447681,,929.525463316314,686.40350877193,852.20808194825
2017-05-18 00:00:00,777.479892761394,996.541620228577,1010.5198488759,858.462505694002,1039.65565414394,360.658141952449,864.565799013139,811.521687078778,1143.37347939201,965.499954778684,1050.0122665259,1044.04429276078,1074.80166294026,1037.24801347296,1045.26315789474,867.16836540167,964.995213544605,,922.658195657394,686.40350877193,838.467829958553
2017-05-19 00:00:00,777.479892761394,993.222874106267,1022.13813306164,867.785998125274,1044.28449975066,364.463455298349,873.90291452471,798.205122512844,1145.55382533382,965.632538601988,1050.24833527259,1049.54982935587,1058.64996440974,1040.62014452155,1045.26315789474,873.854438601055,959.446520737105,,923.712729099853,686.40350877193,843.985259645404
2017-05-22 00:00:00,797.587131367292,982.60750445208,1022.94963734703,866.652792009605,1043.09751757822,366.238649521367,876.322394932432,792.045296622025,1145.75604428189,967.721682469717,1053.7885132827,1049.54982935587,1061.0652258577,1039.15134190358,1045.26315789474,878.16490918113,960.253498423758,,923.712729099853,686.40350877193,839.170768344756
2017-05-23 00:00:00,764.075067024129,980.240997045161,1022.19175773968,867.501400226441,1039.79909366726,365.93857742703,871.223786394883,781.89781959402,1149.09935111136,956.045940888548,1034.48529828965,1038.53875616568,1065.51617256153,1034.27203258504,1045.26315789474,873.675710878624,956.281412756417,,923.712729099853,686.40350877193,839.193115351974
